縣市,事業名稱,公司名稱,統一編號,廳數,地址,電話,備註
臺北市,國賓大戲院,國賓企業股份有限公司,15324301,3,台北市成都路88號,02-23611223,
臺北市,台北新光影城,新光三越百貨股份有限公司台北獅子林分公司,70749633,3,台北市萬華區西寧南路36號4樓,02-23146668,
臺北市,樂聲大戲院,樂聲大戲院股份有限公司,3583704,4,台北市萬華區武昌街2段85號1~5樓,02-23118628,
臺北市,台北日新威秀影城,王牌日新大戲院,80694074,4,台北市武昌路2段87號1~2樓,02-23315256,日新威秀影城
臺北市,豪華大戲院,豪華大戲院股份有限公司,3539102,3,台北市武昌街2段89號,02-23315077,in89豪華數位影城
臺北市,in89豪華數位影城,映捌玖數位影城有限公司,54186685,4,台北市武昌街2段89號,02-23315077,in89豪華數位影城
臺北市,今日大戲院,萬華企業股份有限公司(今日大戲院),15415013,4,台北市峨嵋街52號4樓,02-23814272,今日秀泰影城
臺北市,金馬大戲院,萬華企業股份有限公司(金馬大戲院),15415013,2,台北市峨嵋街52號6樓,02-23814272,今日秀泰影城
臺北市,鳳凰大戲院,萬華企業股份有限公司(鳳凰大戲院),15415013,4,台北市峨嵋街52號8樓,02-23814272,今日秀泰影城
臺北市,絕色電影城,絕色影城股份有限公司,80192629,9,台北市萬華區漢中街52號8至11樓,02-23811339,喜滿客絕色影城
臺北市,真善美劇院,中影股份有限公司真善美分公司,97293474,2,台北市漢中街116號7樓,02-23312270,
臺北市,光點,三視多媒體網路股份有限公司,70655641,1,台北市中山北路2段18號,02-25117786,
臺北市,華山電影藝術館,三三電影製作有限公司,15975423,2,台北市中正區八德路一段1號,02-23940622,
臺北市,台北京站威秀影城,威秀影城股份有限公司京站分公司,28984678,9,台北市大同區華陰街34號5、6樓,02-25525511,
臺北市,朝代大戲院,朝代大戲院有限公司,86138031,2,台北市民權西路136號4樓,02-25571380,
臺北市,龍祥百老匯影城,龍祥育樂多媒體股份有限公司臺北分公司,16289859,7,台北市文山區羅斯福路四段200號3、4、5樓,02-86636128,
臺北市,東南亞電影廣場,東南亞育樂股份有限公司,18748606,6,台北市羅斯福路4段136巷3號,02-23678999,
臺北市,南山大戲院,南山大戲院,4920795,4,台北市通化街24巷1號,02-27023130,湳山戲院
臺北市,梅花數位影院,中影股份有限公司梅花分公司,97302430,2,台北市和平東路三段63號2樓,02-27326968,
臺北市,總督大戲院,船興企業股份有限公司,5148262,1,台北市松山區長安東路2段219號3、4樓,02-27415991,
臺北市,首都戲院,龍子電影事業股份有限公司,21235165,1,台北市松山區長安東路2段219號2、3樓,02-27415991,
臺北市,喜滿客京華影城,喜滿客京華影城股份有限公司,16792611,13,台北市松山區八德路4段138號B1、B2、B3,02-37622001,
臺北市,民生戲院,民生戲院股份有限公司,53563725,2,台北市松山區民生東路五段190號3樓,02-27653373,新民生戲院
臺北市,國賓影城@台北長春廣場,國元影業股份有限公司長春分公司,25122923,2,台北市中山區長春路172號2至3樓、地下1樓,02-25155757,國賓影城@台北長春廣場
臺北市,國賓影城@台北長春廣場,國元影業股份有限公司,25116865,13,台北市中山區長春路176號2F、3F、B2、B3,02-25155757,國賓影城@台北長春廣場
臺北市,欣欣晶華戲院,欣欣大眾市場股份有限公司,11364230,14,台北市中山區林森北路247號3、4、5樓,02-25371889,欣欣秀泰影城
臺北市,國賓影城@微風廣場,國賓影城股份有限公司微風分公司,70795468,6,台北市松山區復興南路1段39號8、10樓,02-87721234,
臺北市,大千電影院,六福開發股份有限公司,16747898,1,台北市南京東路3段133號地下2樓,02-87706565,
臺北市,美麗華大直影城,美麗華娛樂股份有限公司,16604391,10,台北市敬業3路22號6樓,02-85022208,
臺北市,哈拉影城,哈拉影城有限公司,70436436,8,台北市內湖區康寧路3段72號2樓之1、之2、3樓之1、之2,02-26322693,
臺北市,佳佳大戲院,弘美育樂股份有限公司(佳佳),4873385,1,台北市文山區羅斯福路六段403號4樓,02-29346494,來來佳佳戲院
臺北市,來來大戲院,弘美育樂股份有限公司(來來),4873385,2,台北市文山區羅斯福路六段403號6樓,02-29346494,來來佳佳戲院
臺北市,華威天母影城,華威影城有限公司,27310984,8,台北市士林區忠誠路2段202號4~8樓,02-28763300,
臺北市,陽明戲院,陽明戲院有限公司,29711303,4,台北市士林區文林路113號,02-28814636,
臺北市,台北信義威秀影城,威秀影城股份有限公司信義分公司,16431011,17,台北市信義區松壽路18號2、3樓， 20號3樓,02-87805566,
臺北市,誠品電影院,誠品股份有限公司,23155531,3,台北市信義區菸廠路80號B2,02-66365888,
臺北市,喜樂時代影城,喜樂時代影城股份有限公司南港分公司,42828452,25,臺北市南港區忠孝東路7段299號11、12、13、14樓,02-27888185,
新北市,天台戲院,天台戲院股份有限公司,35078600,5,新北市三重區重新路二段78號4樓,02-29784614,
新北市,幸福大戲院,幸福大戲院股份有限公司,35191119,6,新北市三重區三和路四段163巷12號,02-22876709,
新北市,板橋秀泰影城,板球秀泰影城有限公司,54015819,17,新北市板橋區縣民大道二段3號2-4樓,02-29685588,
新北市,板橋大遠百威秀影城,威秀影城股份有限公司板橋分公司,53019247,9,新北市板橋區新站路28號10樓,02-77386608,
新北市,林園電影城,林園電影城戲院,8563729,3,新北市板橋區府中路175號3樓,02-29606099,林園電影城
新北市,華麗電影院,華麗電影院,95891495,2,新北市板橋區府中路175號5樓,02-29605333,林園電影城
新北市,鴻金寶麻吉影城,萬念福開發事業股份有限公司,89578933,5,新北市新莊區民安路188巷5號4樓,02-22070222,
新北市,國賓影城@中和環球購物中心,國賓影城股份有限公司中和分公司,27977191,7,新北市中和區中山路3段122號4樓,02-22268088,
新北市,國賓影城@林口昕境廣場,國賓影城股份有限公司林口分公司,24935022,8,新北市林口區文化三路一段402巷2號4樓,02-26080011,
新北市,國賓影城@新莊晶冠廣場,國賓影城股份有限公司新莊分公司,24964285,13,新北市新莊區五工路66號3樓及4樓,02-85216517,
臺中市,全球影城,亮威股份有限公司,97219643,7,"台中市中區中華路一段1之1號，B1-5, B2-5, 3F-1, 4F-1",04-22242588,
臺中市,日日新大戲院,日日新國際商業股份有限公司,97265890,5,台中市中區中華路一段58號1至10樓,04-22223138,日新大戲院
臺中市,萬代福戲院,桂冠育樂股份有限公司,52664555,5,台中市中區公園路38號3樓、4樓、B1,04-22265270,
臺中市,豪華戲院,華美企業股份有限公司,51652406,0,台中市中區光復里光復路62號,04-22200675,暫停營業
臺中市,豐源國際影城,豐源育樂有限公司,5697668,4,台中市豐原區中正路137號1、2、3樓,04-25260036,
臺中市,台中大遠百威秀影城,威秀影城股份有限公司惠中分公司,53018958,7,台中市西屯區台中港路二段105號13樓,04-22588511,
臺中市,台中新光影城,新光影城股份有限公司台中中港分公司,70784899,8,台中市西屯區台中港路二段111號13、14樓,04-22589911,
臺中市,台中新時代威秀影城,威秀影城股份有限公司台中東區分公司,12942667,9,台中市東區復興路4段186號4、5樓,04-36085566,
臺中市,親親大戲院,親親育樂股份有限公司,22068524,7,台中市北區錦洲里北屯路14號,04-22319111,
臺中市,台中Tiger City威秀影城,威秀影城股份有限公司台中西屯區分公司,12963016,10,台中市西屯區河南路三段120-1號4樓,04-36065566,
臺中市,時代戲院,時代戲院,56083517,2,台中市清水區文昌里光復街65號3樓,04-26222206,
臺中市,華威台中影城,華鵬影城股份有限公司,54229636,6,臺中市西區臺灣大道二段459號17、18、19樓,04-23103768,
臺南市,新建國戲院,新建國戲院,69250208,1,台南市民權路一段56號,06-2294034,
臺南市,全美戲院,全美戲院有限公司,68209998,2,台南市永福路二段187號,06-2224726,
臺南市,今日戲院,今日大戲院有限公司,13125398,1,台南市中正路249號2樓,06-2222265,
臺南市,台南大遠百威秀影城,威秀影城股份有限公司台南分公司,80332430,9,台南市公園路60號5~13樓,06-6005566,
臺南市,台南新光影城,新光影城股份有限公司台南西門分公司,80511807,8,台南市西門路一段658號9、10、11、12樓,06-3031260,
臺南市,國賓影城@台南國賓廣場,國賓影城股份有限公司台南中華分公司,70826912,5,台南市中華東路一段66-70號,06-2347166,
臺南市,國賓影城@台南國賓廣場,國賓影城股份有限公司台南東區分公司,68071157,7,台南市中華東路一段96號B1-16,06-2347166,
臺南市,南台影城,南台育樂事業有限公司,68456929,5,台南市友愛街317號,06-2287581,
臺南市,麻豆戲院,麻豆戲院,87689080,2,台南市麻豆區興中路106號3樓之1,06-5722159,
臺南市,台南南紡夢時代威秀影城,威秀影城股份有限公司台南東區分公司,54393381,10,台南市東區中華東路一段366號5樓,06-2372255,
高雄市,喜滿客夢時代影城,喜滿客京華城股份有限公司夢時代分公司,28474605,12,高雄市三民區十全一路161號地下1、2樓、2~5樓,07-9702001,
高雄市,高雄大遠百威秀影城,威秀影城股份有限公司高雄分公司,12873991,16,高雄市苓雅區三多四路21號13-16樓,07-3345566,
高雄市,三多電影城,貞豪企業股份有限公司,27703186,7,高雄市苓雅區三多四路123號,07-3346285,
高雄市,奧斯卡大戲院,東王大戲院股份有限公司,28293843,1,高雄市新興區仁智街287號B1,07-2412128,奧斯卡3D數位影城
高雄市,東王大戲院,東王大戲院股份有限公司,28293843,2,高雄市新興區仁智街287號3樓,07-2412128,奧斯卡3D數位影城
高雄市,南和大戲院,大西洋成股份有限公司,28294792,1,高雄市新興區仁智街287號2樓,07-2412128,奧斯卡3D數位影城
高雄市,北歐戲院,大西洋成股份有限公司,28294792,1,高雄市新興區仁智街287號2樓,07-2412128,奧斯卡3D數位影城
高雄市,西華戲院,西華戲院股份有限公司,28294152,2,高雄市新興區仁智街287號3樓,07-2412128,奧斯卡3D數位影城
高雄市,中映大戲院,西華戲院股份有限公司,28294152,3,高雄市新興區仁智街287號4樓,07-2412128,奧斯卡3D數位影城
高雄市,環球影城,星球育樂有限公司,16300355,9,高雄市苓雅區大順三路108號3至4樓,07-7220066,
高雄市,喜滿客美奇萊影城,美奇萊育樂股份有限公司,27222357,8,高雄市前鎮區中華五路789號11、12樓,07-3210663,
高雄市,和春大戲院,和春育樂股份有限公司,75988648,6,高雄市三民區建興路391號3、4、5、6樓,07-3847687,
高雄市,來來大戲院,來來大戲院,81850446,1,高雄市三民區十全二路21號2樓,07-3117141,十全電影院
高雄市,博愛大戲院,博愛大戲院,75978156,1,高雄市三民區十全二路21號4-5樓,07-3117141,十全電影院
高雄市,錦元大戲院,錦元大戲院,75978135,1,高雄市三民區十全二路21號6樓,07-3117141,十全電影院
高雄市,威尼斯戲院,威尼斯戲院,18451569,1,高雄市三民區十全二路21號8樓,07-3117141,十全電影院
高雄市,每益大戲院,每益大戲院,26022036,1,高雄市三民區十全二路21號9樓,07-3117141,十全電影院
高雄市,岡山統一大戲院,國琪育樂有限公司,7911799,3,高雄市岡山區壽天路103之18號5樓,07-6223300,
高雄市,國賓影城@高雄義大世界,國賓影城股份有限公司高雄義大分公司,25113086,10,高雄市大樹區學城路一段12號3樓、4樓,07-6568368,
高雄市,台鋁 MLD Cinema,都會生活開發股份有限公司,53197354,8,高雄市前鎮區忠勤路8號,07-5365388,
高雄市,in89駁二電影院,映捌玖數位影城有限公司高雄分公司,42823415,7,高雄市鹽埕區大勇路5之1號及5之2號,07-9766088,
基隆市,基隆秀泰影城,秀泰電影城,9852233,7,基隆市中正區信一路177號7-10樓,02-24212388,
桃園市,美麗華台茂影城,歡影城股份有限公司,214501,14,桃園市蘆竹區南崁路一段112號7、8樓,03-3113123,
桃園市,統領戲院,統領戲院,16741796,4,桃園市桃園區中正路56號3樓、5樓,03-3329398,
桃園市,星橋國際影城,星橋電影有限公司,36408571,16,桃園市中壢區中園路2段501號4、5、6、7樓,03-4680100,
桃園市,威尼斯影城,威尼斯影城股份有限公司,12690563,10,桃園市中壢區九和一街48號,03-2805018,
桃園市,民和大戲院,民和大戲院股份有限公司,12982631,2,桃園市八德區廣福路80號3樓,03-3777437,
桃園市,中源大戲院,中源大戲院,43821484,3,桃園市中壢區日新路97號3樓之1,03-4561160,
新竹市,國際戲院,新竹國際大戲院股份有限公司,45044186,5,新竹市文昌街39號2樓,03-5222134,
新竹市,國際中興影城,國際中興影城有限公司,46387907,3,新竹市林森路32號7、8樓,03-5237077,
新竹市,新竹大遠百威秀影城,威秀影城股份有限公司新竹南門分公司,80728448,11,新竹市西大路323號8、9、10、11樓,03-5241166,
新竹市,新竹巨城威秀影城,威秀影城股份有限公司新竹巨城分公司,80279913,8,新竹市民權路176號4樓之3,03-5346999,
新竹市,新復珍戲院,新復珍戲院股份有限公司,80531780,2,新竹市北門街6號4、5樓,03-5248285,
新竹市,國賓影城@新竹環球世博店,國賓影城股份有限公司新竹分公司,47271658,4,新竹市東區公道五路三段8號1樓,03-5717799分機2100,
苗栗縣,國興戲院,國興戲院,25216040,2,苗栗縣苗栗市勝利里國際一巷3號,037-320363,
苗栗縣,東聲電影院,東聲電影院,92856729,1,苗栗縣頭份鎮中華路1091號3樓之2,037-664735,
苗栗縣,頭份尚順威秀影城,威秀影城股份有限公司苗栗頭份分公司,24792875,8,苗栗縣頭份鎮中央路105號7樓,037-686866,
彰化縣,彰化大戲院,彰化大戲院股份有限公司,59290912,4,彰化縣彰化市中正路二段153號3、4樓,04-7255672,
彰化縣,台灣大戲院,台灣文化企業股份有限公司,58651304,3,彰化縣彰化市中正路二段48號,04-7222213,
彰化縣,員林大戲院,富湖企業有限公司,60277732,4,彰化縣員林鎮南昌路39號3樓,04-8351667,
南投縣,山明電影院,山明電影院,78108870,2,南投縣埔里鎮中正路二段389號4樓之2,049-2997878,
南投縣,南投戲院,南投戲院,61215101,3,南投縣南投市大同街87號,049-2242787,
雲林縣,白宮戲院,白宮戲院,64155958,4,雲林縣虎尾鎮中正路257號,05-6322328,
雲林縣,中華影城,一大育樂股份有限公司,16554505,8,雲林縣斗六市雲林路二段19號,05-5354828,
嘉義市,嘉年華戲院,嘉年華戲院,78550228,9,嘉義市中山路617號4樓,05-2250289,
嘉義市,新榮戲院,新榮戲院,66560806,3,嘉義市新榮路52號2、3樓,05-2255366,
嘉義市,嘉義秀泰影城,嘉義秀泰影城股份有限公司,42754199,11,嘉義市西區文化路299號6樓,05-2283838,
屏東縣,中影屏東影城,中影股份有限公司屏東光華分公司,28976895,8,屏東縣屏東市民生路248號3、4樓,08-7322043,
屏東縣,國賓影城@屏東環球購物中心,國賓影城股份有限公司屏東分公司,53955905,6,屏東縣屏東市仁愛路90號6、7樓,08-7662128,
宜蘭縣,友愛影城,友愛影城,67902247,4,宜蘭縣宜蘭市舊城東路50號7樓,03-9315666,友愛影城
宜蘭縣,日新大戲院,日新大戲院,41562807,3,宜蘭縣羅東鎮中山西街17 -1號,03-9542835,日新戲院
宜蘭縣,統一戲院,統一戲院,42076282,1,宜蘭縣羅東鎮公園路100號3樓,03-9566677,日新戲院-統一廳
宜蘭縣,新月豪華影城,榮江股份有限公司新月影城分公司,24562830,10,宜蘭縣宜蘭市民權路二段38巷2號,03-9328833,
