縣市名,地區名,日期,PM 2.5,最近縣市
臺北市,中正區,2019/01,15,新北市永和區
臺北市,中正區,2019/02,16,新北市永和區
臺北市,中正區,2019/03,19,新北市永和區
臺北市,中正區,2019/04,20,新北市永和區
臺北市,中正區,2019/05,13,新北市永和區
臺北市,中正區,2019/06,13,新北市永和區
臺北市,中正區,2019/07,7,新北市永和區
臺北市,中正區,2019/08,10,新北市永和區
臺北市,中正區,2019/09,9,新北市永和區
臺北市,中正區,2019/10,13,新北市永和區
臺北市,中正區,2019/11,11,新北市永和區
臺北市,大同區,2019/01,14,臺北市大同區
臺北市,大同區,2019/02,14,臺北市大同區
臺北市,大同區,2019/03,18,臺北市大同區
臺北市,大同區,2019/04,19,臺北市大同區
臺北市,大同區,2019/05,15,臺北市大同區
臺北市,大同區,2019/06,13,臺北市大同區
臺北市,大同區,2019/07,13,臺北市大同區
臺北市,大同區,2019/08,12,臺北市大同區
臺北市,大同區,2019/09,13,臺北市大同區
臺北市,大同區,2019/10,19,臺北市大同區
臺北市,大同區,2019/11,17,臺北市大同區
臺北市,中山區,2019/01,15,臺北市中山區
臺北市,中山區,2019/02,15,臺北市中山區
臺北市,中山區,2019/03,19,臺北市中山區
臺北市,中山區,2019/04,21,臺北市中山區
臺北市,中山區,2019/05,15,臺北市中山區
臺北市,中山區,2019/06,13,臺北市中山區
臺北市,中山區,2019/07,12,臺北市中山區
臺北市,中山區,2019/08,12,臺北市中山區
臺北市,中山區,2019/09,11,臺北市中山區
臺北市,中山區,2019/10,16,臺北市中山區
臺北市,中山區,2019/11,13,臺北市中山區
臺北市,松山區,2019/01,15,臺北市松山區
臺北市,松山區,2019/02,14,臺北市松山區
臺北市,松山區,2019/03,19,臺北市松山區
臺北市,松山區,2019/04,20,臺北市松山區
臺北市,松山區,2019/05,14,臺北市松山區
臺北市,松山區,2019/06,13,臺北市松山區
臺北市,松山區,2019/07,12,臺北市松山區
臺北市,松山區,2019/08,10,臺北市松山區
臺北市,松山區,2019/09,10,臺北市松山區
臺北市,松山區,2019/10,17,臺北市松山區
臺北市,松山區,2019/11,15,臺北市松山區
臺北市,大安區,2019/01,15,臺北市大安區
臺北市,大安區,2019/02,15,臺北市大安區
臺北市,大安區,2019/03,22,臺北市大安區
臺北市,大安區,2019/04,24,臺北市大安區
臺北市,大安區,2019/05,16,臺北市大安區
臺北市,大安區,2019/06,12,臺北市大安區
臺北市,大安區,2019/07,10,臺北市大安區
臺北市,大安區,2019/08,9,臺北市大安區
臺北市,大安區,2019/09,9,臺北市大安區
臺北市,大安區,2019/10,15,臺北市大安區
臺北市,大安區,2019/11,12,臺北市大安區
臺北市,萬華區,2019/01,14,臺北市萬華區
臺北市,萬華區,2019/02,14,臺北市萬華區
臺北市,萬華區,2019/03,17,臺北市萬華區
臺北市,萬華區,2019/04,19,臺北市萬華區
臺北市,萬華區,2019/05,13,臺北市萬華區
臺北市,萬華區,2019/06,11,臺北市萬華區
臺北市,萬華區,2019/07,11,臺北市萬華區
臺北市,萬華區,2019/08,9,臺北市萬華區
臺北市,萬華區,2019/09,9,臺北市萬華區
臺北市,萬華區,2019/10,16,臺北市萬華區
臺北市,萬華區,2019/11,14,臺北市萬華區
臺北市,信義區,2019/01,15,臺北市松山區
臺北市,信義區,2019/02,14,臺北市松山區
臺北市,信義區,2019/03,19,臺北市松山區
臺北市,信義區,2019/04,20,臺北市松山區
臺北市,信義區,2019/05,14,臺北市松山區
臺北市,信義區,2019/06,13,臺北市松山區
臺北市,信義區,2019/07,12,臺北市松山區
臺北市,信義區,2019/08,10,臺北市松山區
臺北市,信義區,2019/09,10,臺北市松山區
臺北市,信義區,2019/10,17,臺北市松山區
臺北市,信義區,2019/11,15,臺北市松山區
臺北市,士林區,2019/01,14,臺北市士林區
臺北市,士林區,2019/02,13,臺北市士林區
臺北市,士林區,2019/03,18,臺北市士林區
臺北市,士林區,2019/04,18,臺北市士林區
臺北市,士林區,2019/05,15,臺北市士林區
臺北市,士林區,2019/06,12,臺北市士林區
臺北市,士林區,2019/07,12,臺北市士林區
臺北市,士林區,2019/08,10,臺北市士林區
臺北市,士林區,2019/09,9,臺北市士林區
臺北市,士林區,2019/10,13,臺北市士林區
臺北市,士林區,2019/11,9,臺北市士林區
臺北市,北投區,2019/01,7,臺北市北投區
臺北市,北投區,2019/02,6,臺北市北投區
臺北市,北投區,2019/03,11,臺北市北投區
臺北市,北投區,2019/04,11,臺北市北投區
臺北市,北投區,2019/05,9,臺北市北投區
臺北市,北投區,2019/06,7,臺北市北投區
臺北市,北投區,2019/07,8,臺北市北投區
臺北市,北投區,2019/08,7,臺北市北投區
臺北市,北投區,2019/09,6,臺北市北投區
臺北市,北投區,2019/10,10,臺北市北投區
臺北市,北投區,2019/11,7,臺北市北投區
臺北市,內湖區,2019/01,15,臺北市松山區
臺北市,內湖區,2019/02,14,臺北市松山區
臺北市,內湖區,2019/03,19,臺北市松山區
臺北市,內湖區,2019/04,20,臺北市松山區
臺北市,內湖區,2019/05,14,臺北市松山區
臺北市,內湖區,2019/06,13,臺北市松山區
臺北市,內湖區,2019/07,12,臺北市松山區
臺北市,內湖區,2019/08,10,臺北市松山區
臺北市,內湖區,2019/09,10,臺北市松山區
臺北市,內湖區,2019/10,17,臺北市松山區
臺北市,內湖區,2019/11,15,臺北市松山區
臺北市,南港區,2019/01,13,新北市汐止區
臺北市,南港區,2019/02,12,新北市汐止區
臺北市,南港區,2019/03,18,新北市汐止區
臺北市,南港區,2019/04,19,新北市汐止區
臺北市,南港區,2019/05,13,新北市汐止區
臺北市,南港區,2019/06,11,新北市汐止區
臺北市,南港區,2019/07,12,新北市汐止區
臺北市,南港區,2019/08,11,新北市汐止區
臺北市,南港區,2019/09,11,新北市汐止區
臺北市,南港區,2019/10,15,新北市汐止區
臺北市,南港區,2019/11,13,新北市汐止區
臺北市,文山區,2019/01,13,新北市新店區
臺北市,文山區,2019/02,13,新北市新店區
臺北市,文山區,2019/03,17,新北市新店區
臺北市,文山區,2019/04,16,新北市新店區
臺北市,文山區,2019/05,10,新北市新店區
臺北市,文山區,2019/06,11,新北市新店區
臺北市,文山區,2019/07,10,新北市新店區
臺北市,文山區,2019/08,8,新北市新店區
臺北市,文山區,2019/09,10,新北市新店區
臺北市,文山區,2019/10,14,新北市新店區
臺北市,文山區,2019/11,11,新北市新店區
基隆市,仁愛區,2019/01,12,基隆市信義區
基隆市,仁愛區,2019/02,12,基隆市信義區
基隆市,仁愛區,2019/03,16,基隆市信義區
基隆市,仁愛區,2019/04,15,基隆市信義區
基隆市,仁愛區,2019/05,12,基隆市信義區
基隆市,仁愛區,2019/06,10,基隆市信義區
基隆市,仁愛區,2019/07,10,基隆市信義區
基隆市,仁愛區,2019/08,9,基隆市信義區
基隆市,仁愛區,2019/09,8,基隆市信義區
基隆市,仁愛區,2019/10,15,基隆市信義區
基隆市,仁愛區,2019/11,13,基隆市信義區
基隆市,信義區,2019/01,12,基隆市信義區
基隆市,信義區,2019/02,12,基隆市信義區
基隆市,信義區,2019/03,16,基隆市信義區
基隆市,信義區,2019/04,15,基隆市信義區
基隆市,信義區,2019/05,12,基隆市信義區
