,縣市,地區,Longitude (經度),Latitude(緯度)
0,基隆市,,1214400,250800
1,台北市,北投區,1213000,250800
2,台北市,士林區,1213100,250600
3,台北市,內湖區,1213500,250500
4,台北市,中山區,1213200,250400
5,台北市,南港區,1213700,250300
6,台北市,大同區,1213100,250300
7,台北市,松山區,1213400,250300
8,台北市,信義區,1213400,250200
9,台北市,大安區,1213200,250200
10,台北市,中正區,1213100,250100
11,台北市,文山區,1213300,245900
12,新北市,石門區,1213400,251800
13,新北市,三芝區,1213000,251500
14,新北市,金山區,1213800,251300
15,新北市,萬里區,1214100,251100
16,新北市,淡水區,1212600,251000
17,新北市,八里區,1212300,250700
18,新北市,瑞芳區,1214900,250700
19,新北市,林口區,1212300,250500
20,新北市,五股區,1212300,250500
21,新北市,蘆州區,1212800,250500
22,新北市,泰山區,1212500,250400
23,新北市,三重區,1212900,250400
24,新北市,汐止區,1213900,250400
25,新北市,新莊區,1212700,250200
26,新北市,平溪區,1214400,250200
27,新北市,雙溪區,1215100,250200
28,新北市,貢寮區,1215500,250200
29,新北市,板橋區,1212700,250100
30,新北市,永和區,1213000,250100
31,新北市,中和區,1212900,250000
32,新北市,深坑區,1213600,250000
33,新北市,樹林區,1212500,245900
34,新北市,石碇區,1213900,245900
35,新北市,土城區,1212600,245800
36,新北市,鶯歌區,1212100,245700
37,新北市,新店區,1213200,245700
38,新北市,三峽區,1212200,245600
39,新北市,坪林區,1214200,245600
40,新北市,烏來區,1213300,245200
41,桃園縣,大園鄉,1211100,250400
42,桃園縣,蘆竹鄉,1211500,250300
43,桃園縣,觀音鄉,1210400,250200
44,桃園縣,龜山鄉,1212000,250000
45,桃園縣,桃園市,1211800,245900
46,桃園縣,新屋鄉,1210600,245800
47,桃園縣,平鎮鄉,1211200,245700
48,桃園縣,中壢市,1211300,245700
49,桃園縣,八德鄉,1211700,245600
50,桃園縣,楊梅鎮,1210800,245400
51,桃園縣,大溪鎮,1211700,245300
52,桃園縣,龍潭鄉,1211200,245200
53,桃園縣,復興鄉,1212100,244900
54,新竹縣,新豐鄉,1205900,245400
55,新竹縣,湖口鄉,1210200,245400
56,新竹縣,竹北市,1210000,245000
57,新竹縣,新埔鄉,1210400,245000
58,新竹市,,1205800,244800
59,新竹縣,關西鄉,1211000,244800
60,新竹縣,芳林鄉,1210400,244700
61,新竹市,香山區,1205600,244600
62,新竹縣,寶山鄉,1205900,244600
63,新竹縣,竹東鎮,1210500,244400
64,新竹縣,橫山鄉,1210700,244300
65,新竹縣,尖石鄉,1211200,244300
66,新竹縣,北埔鄉,1210300,244200
67,新竹縣,峨眉鄉,1210100,244100
68,新竹縣,五峰鄉,1210700,243800
69,苗栗縣,竹東鎮,1205200,244100
70,苗栗縣,頭份鎮,1205400,244100
71,苗栗縣,三灣鄉,1205700,243900
72,苗栗縣,造橋鄉,1205100,243800
73,苗栗縣,後龍鎮,1204700,243700
74,苗栗縣,南莊鄉,1210000,243600
75,苗栗縣,頭屋鄉,1205100,243400
76,苗栗縣,西湖鄉,1204500,243300
77,苗栗縣,苗栗市,1204900,243300
78,苗栗縣,獅潭鄉,1205500,243300
79,苗栗縣,銅鑼鄉,1204700,243000
80,苗栗縣,公館鄉,1204900,243000
81,苗栗縣,通霄鎮,1204000,242900
82,苗栗縣,苑裡鎮,1203900,242700
83,苗栗縣,泰安鄉,1205500,242500
84,苗栗縣,三義鄉,1204600,242500
85,苗栗縣,卓蘭鎮,1204900,241900
86,台中市,大安區,1203500,242100
87,台中市,大甲區,1203100,242100
88,台中市,外埔區,1203900,242000
89,台中市,后里區,1204200,241800
90,台中市,石崗區,1204600,241700
91,台中市,清水區,1203400,241600
92,台中市,梧棲區,1203100,241500
93,台中市,神崗區,1203900,241500
94,台中市,豐原區,1204300,241500
95,台中市,新社區,1204800,241500
96,台中市,東勢區,1204900,241500
97,台中市,沙鹿區,1203300,241400
98,台中市,大雅區,1203800,241300
99,台中市,潭子區,1204200,241300
100,台中市,龍井區,1203200,241200
101,台中市,西屯區,1203700,241100
102,台中市,北屯區,1204100,241000
103,台中市,和平區,1205300,241000
104,台中市,大肚區,1203200,240900
105,台中市,南屯區,1203700,240800
106,台中市,太平區,1204200,240800
107,台中市,烏日區,1203700,240600
108,台中市,大里區,1204000,240600
109,台中市,霧峰區,1204100,240400
110,彰化縣,伸港鄉,1202900,241000
111,彰化縣,線西鄉,1202700,240800
112,彰化縣,和美鎮,1202900,240700
113,彰化縣,鹿港鎮,1202600,240400
114,彰化縣,彰化市,1203200,240400
115,彰化縣,秀水鄉,1203000,240300
116,彰化縣,福興鄉,1202700,240200
117,彰化縣,花壇鄉,1203200,240200
118,彰化縣,芬園鄉,1203700,240100
119,彰化縣,埔鹽鄉,1202800,240000
120,彰化縣,大村鄉,1203200,240000
121,彰化縣,溪湖鄉,1202800,235800
122,彰化縣,員林鎮,1203400,235800
123,彰化縣,埔心鄉,1203200,235700
124,彰化縣,芳苑鄉,1201900,235600
125,彰化縣,永靖鄉,1203200,235500
126,彰化縣,二林鎮,1202100,235400
127,彰化縣,埤頭鄉,1202800,235400
128,彰化縣,田尾鄉,1203100,235400
129,彰化縣,社頭鄉,1203500,235400
130,彰化縣,北斗鎮,1203100,235300
131,彰化縣,竹塘鄉,1202500,235200
132,彰化縣,田中鎮,1203500,235200
133,彰化縣,大城鄉,1201900,235100
134,彰化縣,溪州鄉,1202900,235100
135,彰化縣,二水鄉,1203700,234900
136,南投縣,國姓鄉,1205100,240300
137,南投縣,仁愛鄉,1210700,240100
138,南投縣,草屯鎮,1204100,235900
139,南投縣,埔里鎮,1205700,235800
140,南投縣,南投市,1204100,235400
141,南投縣,魚池鄉,1205600,235400
142,南投縣,中寮鄉,1204500,235300
143,南投縣,名間鄉,1204100,235000
144,南投縣,集集鎮,1204500,235000
145,南投縣,水裡鄉,1205100,244900
146,南投縣,竹山鎮,1204000,234600
147,南投縣,鹿谷鄉,1204400,234500
148,南投縣,信義鄉,1205100,234200
149,雲林縣,西螺鎮,1202700,234800
150,雲林縣,崙背鄉,1202100,234600
151,雲林縣,二崙鄉,1202400,234600
152,雲林縣,林內鄉,1203700,234600
153,雲林縣,麥寮鄉,1201500,234500
154,雲林縣,荊桐鄉,1202900,234500
155,雲林縣,虎尾鎮,1202600,234300
156,雲林縣,台西鄉,1201100,234200
157,雲林縣,褒忠鄉,1201800,234200
158,雲林縣,斗六市,1203200,234200
159,雲林縣,斗南鎮,1202800,234100
160,雲林縣,東勢鄉,1201500,234000
161,雲林縣,土庫鎮,1202300,234000
162,雲林縣,大埤鄉,1201500,233900
163,雲林縣,元長鄉,1201700,233900
164,雲林縣,古坑鄉,1203300,233900
165,雲林縣,四湖鄉,1201300,233800
166,雲林縣,口湖鄉,1201000,233500
167,雲林縣,水林鄉,1201400,233400
168,雲林縣,北港鎮,1201800,233400
169,嘉義縣,溪口鄉,1202300,233600
170,嘉義縣,大林鎮,1202700,233600
171,嘉義縣,梅山鄉,1203300,233500
172,嘉義縣,新港鄉,1202000,233300
173,嘉義縣,民雄鄉,1202500,233300
174,嘉義縣,竹崎鄉,1203300,233100
175,嘉義縣,六腳鄉,1201500,233000
176,嘉義縣,嘉義市,1202700,232900
177,嘉義縣,朴子鎮,1201400,232800
178,嘉義縣,太保鄉,1201900,232800
179,嘉義縣,番路鄉,1203300,232800
180,嘉義縣,東石鄉,1200800,232700
181,嘉義縣,水上鄉,1202300,232600
182,嘉義縣,吳鳳鄉,1204400,232600
183,嘉義縣,鹿草鄉,1201800,232500
184,嘉義縣,中埔鄉,1203100,232500
185,嘉義縣,布袋鎮,1200900,232300
186,嘉義縣,義竹鄉,1201400,232000
187,嘉義縣,大埔鄉,1203500,231800
188,台南市,後壁區,1202100,232200
