,縣市名,地區名,公車站牌數,地區土地面積(平方公里),公車站牌密度(站/平方公里)
0,臺北市,中正區,1829,7.6071,240.43
1,臺北市,大同區,734,5.6815,129.19
2,臺北市,中山區,2471,13.6821,180.6
3,臺北市,松山區,1452,9.2878,156.33
4,臺北市,大安區,1586,11.3614,139.6
5,臺北市,萬華區,550,8.8522,62.13
6,臺北市,信義區,829,11.2077,73.97
7,臺北市,士林區,3897,62.3682,62.48
8,臺北市,北投區,2145,56.8216,37.75
9,臺北市,內湖區,2615,31.5787,82.81
10,臺北市,南港區,1265,21.8424,57.91
11,臺北市,文山區,2223,31.509,70.55
12,基隆市,仁愛區,0,4.2335,0.0
13,基隆市,信義區,0,10.6706,0.0
14,基隆市,中正區,0,10.2118,0.0
15,基隆市,中山區,0,10.5238,0.0
16,基隆市,安樂區,0,18.025,0.0
17,基隆市,暖暖區,0,22.8283,0.0
18,基隆市,七堵區,0,56.2659,0.0
19,新北市,萬里區,298,63.3766,4.7
20,新北市,金山區,3112,49.2132,63.24
21,新北市,板橋區,1748,23.1373,75.55
22,新北市,汐止區,1470,71.2354,20.64
23,新北市,深坑區,283,20.5787,13.75
24,新北市,石碇區,197,144.3498,1.36
25,新北市,瑞芳區,1134,70.7336,16.03
26,新北市,平溪區,161,71.3382,2.26
27,新北市,雙溪區,447,146.2484,3.06
28,新北市,貢寮區,380,99.9734,3.8
29,新北市,新店區,2464,120.2255,20.49
30,新北市,坪林區,57,170.835,0.33
31,新北市,烏來區,46,321.1306,0.14
32,新北市,永和區,408,5.7138,71.41
33,新北市,中和區,910,20.144,45.17
34,新北市,土城區,653,29.5578,22.09
35,新北市,三峽區,1056,191.4508,5.52
36,新北市,樹林區,665,33.1288,20.07
37,新北市,鶯歌區,319,21.1248,15.1
38,新北市,三重區,1026,16.317,62.88
39,新北市,新莊區,1617,19.7383,81.92
40,新北市,泰山區,368,19.1603,19.21
41,新北市,林口區,906,54.1519,16.73
42,新北市,蘆洲區,280,7.4351,37.66
43,新北市,五股區,902,34.8632,25.87
44,新北市,八里區,418,39.4933,10.58
45,新北市,淡水區,2781,70.6565,39.36
