縣市名,地區名,人口,地區面積,縣市地區
臺北市,中正區,159000,7.6071,臺北市中正區
臺北市,大同區,127625,5.6815,臺北市大同區
臺北市,中山區,229456,13.6821,臺北市中山區
臺北市,松山區,205702,9.2878,臺北市松山區
臺北市,大安區,308843,11.3614,臺北市大安區
臺北市,萬華區,189603,8.8522,臺北市萬華區
臺北市,信義區,223406,11.2077,臺北市信義區
臺北市,士林區,286544,62.3682,臺北市士林區
臺北市,北投區,255532,56.8216,臺北市北投區
臺北市,內湖區,287429,31.5787,臺北市內湖區
臺北市,南港區,121670,21.8424,臺北市南港區
臺北市,文山區,273762,31.509,臺北市文山區
基隆市,仁愛區,43730,4.2335,基隆市仁愛區
基隆市,信義區,52662,10.6706,基隆市信義區
基隆市,中正區,51670,10.2118,基隆市中正區
基隆市,中山區,47398,10.5238,基隆市中山區
基隆市,安樂區,82294,18.025,基隆市安樂區
基隆市,暖暖區,38619,22.8283,基隆市暖暖區
基隆市,七堵區,53782,56.2659,基隆市七堵區
新北市,萬里區,22068,63.3766,新北市萬里區
新北市,金山區,21774,49.2132,新北市金山區
新北市,板橋區,554742,23.1373,新北市板橋區
新北市,汐止區,200535,71.2354,新北市汐止區
新北市,深坑區,23634,20.5787,新北市深坑區
新北市,石碇區,7731,144.3498,新北市石碇區
新北市,瑞芳區,39982,70.7336,新北市瑞芳區
新北市,平溪區,4666,71.3382,新北市平溪區
新北市,雙溪區,8860,146.2484,新北市雙溪區
新北市,貢寮區,12301,99.9734,新北市貢寮區
新北市,新店區,302231,120.2255,新北市新店區
新北市,坪林區,6612,170.835,新北市坪林區
新北市,烏來區,6438,321.1306,新北市烏來區
新北市,永和區,221098,5.7138,新北市永和區
新北市,中和區,412486,20.144,新北市中和區
新北市,土城區,236901,29.5578,新北市土城區
新北市,三峽區,115820,191.4508,新北市三峽區
新北市,樹林區,183946,33.1288,新北市樹林區
新北市,鶯歌區,86361,21.1248,新北市鶯歌區
新北市,三重區,385826,16.317,新北市三重區
新北市,新莊區,417754,19.7383,新北市新莊區
新北市,泰山區,78708,19.1603,新北市泰山區
新北市,林口區,110081,54.1519,新北市林口區
新北市,蘆洲區,201332,7.4351,新北市蘆洲區
新北市,五股區,86329,34.8632,新北市五股區
新北市,八里區,38906,39.4933,新北市八里區
新北市,淡水區,173502,70.6565,新北市淡水區
新北市,三芝區,22978,65.9909,新北市三芝區
新北市,石門區,12115,51.2645,新北市石門區
連江縣,南竿鄉,7663,10.4,連江縣南竿鄉
連江縣,北竿鄉,2425,9.9,連江縣北竿鄉
連江縣,莒光鄉,1618,4.7,連江縣莒光鄉
連江縣,東引鄉,1350,3.8,連江縣東引鄉
宜蘭縣,宜蘭市,95732,29.408,宜蘭縣宜蘭市
宜蘭縣,壯圍鄉,24302,38.4769,宜蘭縣壯圍鄉
宜蘭縣,頭城鎮,29133,100.893,宜蘭縣頭城鎮
宜蘭縣,礁溪鄉,35619,101.4278,宜蘭縣礁溪鄉
宜蘭縣,員山鄉,32281,111.9106,宜蘭縣員山鄉
宜蘭縣,羅東鎮,72433,11.3448,宜蘭縣羅東鎮
宜蘭縣,三星鄉,21359,144.2238,宜蘭縣三星鄉
宜蘭縣,大同鄉,6242,657.5442,宜蘭縣大同鄉
宜蘭縣,五結鄉,39543,38.8671,宜蘭縣五結鄉
宜蘭縣,冬山鄉,52880,79.8573,宜蘭縣冬山鄉
宜蘭縣,蘇澳鎮,39682,89.0196,宜蘭縣蘇澳鎮
宜蘭縣,南澳鄉,6015,740.652,宜蘭縣南澳鄉
宜蘭縣,釣魚臺,0,4.38,宜蘭縣釣魚臺
釣魚臺,釣魚臺,0,4.38,釣魚臺釣魚臺
新竹市,東區,215566,33.5768,新竹市東區
新竹市,北區,151679,15.7267,新竹市北區
新竹市,香山區,78390,54.8491,新竹市香山區
新竹縣,寶山鄉,14647,64.7871,新竹縣寶山鄉
新竹縣,竹北市,187336,46.8341,新竹縣竹北市
新竹縣,湖口鄉,77668,58.4303,新竹縣湖口鄉
新竹縣,新豐鄉,56980,46.3496,新竹縣新豐鄉
新竹縣,新埔鎮,33104,72.1911,新竹縣新埔鎮
新竹縣,關西鎮,28537,125.5193,新竹縣關西鎮
新竹縣,芎林鄉,20025,40.7858,新竹縣芎林鄉
新竹縣,竹東鎮,96380,53.5133,新竹縣竹東鎮
新竹縣,五峰鄉,4774,227.728,新竹縣五峰鄉
新竹縣,橫山鄉,12942,66.3502,新竹縣橫山鄉
新竹縣,尖石鄉,9695,527.5795,新竹縣尖石鄉
新竹縣,北埔鄉,9335,50.6676,新竹縣北埔鄉
新竹縣,峨眉鄉,5587,46.801,新竹縣峨眉鄉
桃園市,中壢區,412063,76.52,桃園市中壢區
桃園市,平鎮區,226412,47.7532,桃園市平鎮區
桃園市,龍潭區,123175,75.2341,桃園市龍潭區
桃園市,楊梅區,170380,89.1229,桃園市楊梅區
桃園市,新屋區,49210,85.0166,桃園市新屋區
桃園市,觀音區,67358,87.9807,桃園市觀音區
桃園市,桃園區,447302,34.8046,桃園市桃園區
桃園市,龜山區,160591,72.0177,桃園市龜山區
桃園市,八德區,202198,33.7111,桃園市八德區
桃園市,大溪區,94885,105.1206,桃園市大溪區
桃園市,復興區,12026,350.7775,桃園市復興區
桃園市,大園區,90888,87.3925,桃園市大園區
桃園市,蘆竹區,164384,75.5025,桃園市蘆竹區
苗栗縣,竹南鎮,86130,37.5592,苗栗縣竹南鎮
苗栗縣,頭份市,103081,53.3205,苗栗縣頭份市
苗栗縣,三灣鄉,6613,52.2964,苗栗縣三灣鄉
苗栗縣,南庄鄉,10042,165.4938,苗栗縣南庄鄉
苗栗縣,獅潭鄉,4331,79.4324,苗栗縣獅潭鄉
苗栗縣,後龍鎮,36257,75.8079,苗栗縣後龍鎮
苗栗縣,通霄鎮,33992,107.8486,苗栗縣通霄鎮
苗栗縣,苑裡鎮,45211,68.2473,苗栗縣苑裡鎮
苗栗縣,苗栗市,88216,37.8878,苗栗縣苗栗市
苗栗縣,造橋鄉,12701,47.9978,苗栗縣造橋鄉
苗栗縣,頭屋鄉,10667,52.5046,苗栗縣頭屋鄉
苗栗縣,公館鄉,33261,71.4523,苗栗縣公館鄉
苗栗縣,大湖鄉,14482,90.8396,苗栗縣大湖鄉
苗栗縣,泰安鄉,6039,614.5127,苗栗縣泰安鄉
苗栗縣,銅鑼鄉,17871,78.3805,苗栗縣銅鑼鄉
苗栗縣,三義鄉,16204,69.3424,苗栗縣三義鄉
苗栗縣,西湖鄉,7033,41.0758,苗栗縣西湖鄉
苗栗縣,卓蘭鎮,16732,76.3153,苗栗縣卓蘭鎮
臺中市,中區,18514,0.8803,臺中市中區
臺中市,東區,76175,9.2855,臺中市東區
臺中市,南區,125874,6.8101,臺中市南區
臺中市,西區,115698,5.7042,臺中市西區
臺中市,北區,147557,6.9376,臺中市北區
臺中市,北屯區,279297,62.7034,臺中市北屯區
臺中市,西屯區,228630,39.8467,臺中市西屯區
臺中市,南屯區,170618,31.2578,臺中市南屯區
臺中市,太平區,191752,120.7473,臺中市太平區
臺中市,大里區,212104,28.8758,臺中市大里區
臺中市,霧峰區,65619,98.0779,臺中市霧峰區
臺中市,烏日區,75372,43.4032,臺中市烏日區
臺中市,豐原區,167025,41.1845,臺中市豐原區
臺中市,后里區,54775,58.9439,臺中市后里區
臺中市,石岡區,14956,18.2105,臺中市石岡區
臺中市,東勢區,50256,117.4065,臺中市東勢區
臺中市,和平區,11015,1037.8192,臺中市和平區
臺中市,新社區,24576,68.8874,臺中市新社區
臺中市,潭子區,108952,25.8497,臺中市潭子區
臺中市,大雅區,95815,32.4109,臺中市大雅區
臺中市,神岡區,65711,35.0445,臺中市神岡區
臺中市,大肚區,57324,37.0024,臺中市大肚區
臺中市,沙鹿區,94079,40.4604,臺中市沙鹿區
臺中市,龍井區,77998,38.0377,臺中市龍井區
臺中市,梧棲區,58218,16.6049,臺中市梧棲區
臺中市,清水區,86862,64.1709,臺中市清水區
臺中市,大甲區,77625,58.5192,臺中市大甲區
臺中市,外埔區,32230,42.4099,臺中市外埔區
臺中市,大安區,19267,27.4045,臺中市大安區
彰化縣,彰化市,232729,65.6947,彰化縣彰化市
彰化縣,芬園鄉,23583,38.0204,彰化縣芬園鄉
彰化縣,花壇鄉,45853,36.3469,彰化縣花壇鄉
彰化縣,秀水鄉,39291,29.3447,彰化縣秀水鄉
彰化縣,鹿港鎮,86818,39.4625,彰化縣鹿港鎮
彰化縣,福興鄉,47059,49.8934,彰化縣福興鄉
彰化縣,線西鄉,16860,18.0856,彰化縣線西鄉
彰化縣,和美鎮,90782,39.9345,彰化縣和美鎮
彰化縣,伸港鄉,37121,22.3268,彰化縣伸港鄉
彰化縣,員林市,124890,40.038,彰化縣員林市
彰化縣,社頭鄉,42882,36.1449,彰化縣社頭鄉
彰化縣,永靖鄉,36962,20.6382,彰化縣永靖鄉
彰化縣,埔心鄉,34745,20.9526,彰化縣埔心鄉
彰化縣,溪湖鎮,55365,32.0592,彰化縣溪湖鎮
彰化縣,大村鄉,36968,30.7837,彰化縣大村鄉
彰化縣,埔鹽鄉,32460,38.6081,彰化縣埔鹽鄉
彰化縣,田中鎮,41541,34.6056,彰化縣田中鎮
彰化縣,北斗鎮,33321,19.2547,彰化縣北斗鎮
彰化縣,田尾鄉,27336,24.0375,彰化縣田尾鄉
彰化縣,埤頭鄉,30508,42.7508,彰化縣埤頭鄉
彰化縣,溪州鄉,29760,75.831,彰化縣溪州鄉
彰化縣,竹塘鄉,15095,42.1662,彰化縣竹塘鄉
彰化縣,二林鎮,50536,92.8478,彰化縣二林鎮
彰化縣,大城鄉,16717,63.7406,彰化縣大城鄉
彰化縣,芳苑鄉,33489,91.3827,彰化縣芳苑鄉
彰化縣,二水鄉,15153,29.4449,彰化縣二水鄉
南投縣,南投市,99519,71.6021,南投縣南投市
南投縣,中寮鄉,14680,146.6541,南投縣中寮鄉
南投縣,草屯鎮,97119,104.0327,南投縣草屯鎮
南投縣,國姓鄉,18629,175.7042,南投縣國姓鄉
南投縣,埔里鎮,80340,162.2227,南投縣埔里鎮
南投縣,仁愛鄉,15969,1273.5312,南投縣仁愛鄉
南投縣,名間鄉,38265,83.0955,南投縣名間鄉
南投縣,集集鎮,10804,49.7268,南投縣集集鎮
南投縣,水里鄉,17496,106.8424,南投縣水里鄉
南投縣,魚池鄉,15753,121.3735,南投縣魚池鄉
南投縣,信義鄉,16230,1422.4188,南投縣信義鄉
南投縣,竹山鎮,54540,247.3339,南投縣竹山鎮
南投縣,鹿谷鄉,17687,141.8981,南投縣鹿谷鄉
嘉義市,西區,147460,29.87,嘉義市西區
嘉義市,東區,121162,30.1556,嘉義市東區
嘉義縣,番路鄉,11430,117.5269,嘉義縣番路鄉
嘉義縣,梅山鄉,19282,119.7571,嘉義縣梅山鄉
嘉義縣,竹崎鄉,35584,162.2256,嘉義縣竹崎鄉
嘉義縣,中埔鄉,44584,129.5016,嘉義縣中埔鄉
嘉義縣,大埔鄉,4603,173.2472,嘉義縣大埔鄉
嘉義縣,水上鄉,49316,69.1198,嘉義縣水上鄉
嘉義縣,鹿草鄉,15358,54.3151,嘉義縣鹿草鄉
嘉義縣,太保市,38069,66.8964,嘉義縣太保市
嘉義縣,朴子市,42112,49.5737,嘉義縣朴子市
嘉義縣,東石鄉,24580,81.5821,嘉義縣東石鄉
嘉義縣,六腳鄉,22960,62.2619,嘉義縣六腳鄉
嘉義縣,新港鄉,31723,66.0495,嘉義縣新港鄉
嘉義縣,民雄鄉,71367,85.4969,嘉義縣民雄鄉
嘉義縣,大林鎮,30896,64.1663,嘉義縣大林鎮
嘉義縣,溪口鄉,14592,33.0463,嘉義縣溪口鄉
嘉義縣,義竹鄉,18242,79.2925,嘉義縣義竹鄉
嘉義縣,布袋鎮,26773,61.7307,嘉義縣布袋鎮
雲林縣,斗南鎮,44547,48.1505,雲林縣斗南鎮
雲林縣,大埤鄉,19030,44.9973,雲林縣大埤鄉
雲林縣,虎尾鎮,70844,68.742,雲林縣虎尾鎮
雲林縣,土庫鎮,28794,49.0212,雲林縣土庫鎮
雲林縣,褒忠鄉,12912,37.0552,雲林縣褒忠鄉
雲林縣,東勢鄉,14766,48.3562,雲林縣東勢鄉
雲林縣,臺西鄉,23730,54.0983,雲林縣臺西鄉
雲林縣,崙背鄉,24345,58.484,雲林縣崙背鄉
雲林縣,麥寮鄉,46196,80.1668,雲林縣麥寮鄉
雲林縣,斗六市,108542,93.7151,雲林縣斗六市
雲林縣,林內鄉,17995,37.6035,雲林縣林內鄉
雲林縣,古坑鄉,31358,166.6059,雲林縣古坑鄉
雲林縣,莿桐鄉,28703,50.8502,雲林縣莿桐鄉
雲林縣,西螺鎮,46064,49.7985,雲林縣西螺鎮
雲林縣,二崙鄉,26855,59.5625,雲林縣二崙鄉
雲林縣,北港鎮,39905,41.4999,雲林縣北港鎮
雲林縣,水林鄉,25308,72.9582,雲林縣水林鄉
雲林縣,口湖鄉,27276,80.4612,雲林縣口湖鄉
雲林縣,四湖鄉,23209,77.1189,雲林縣四湖鄉
雲林縣,元長鄉,25643,71.5872,雲林縣元長鄉
臺南市,中西區,78167,6.26,臺南市中西區
臺南市,東區,186250,13.4156,臺南市東區
臺南市,南區,124824,27.2681,臺南市南區
臺南市,北區,132112,10.434,臺南市北區
臺南市,安平區,66775,11.0663,臺南市安平區
臺南市,安南區,193438,107.2016,臺南市安南區
臺南市,永康區,234891,40.2753,臺南市永康區
臺南市,歸仁區,68403,55.7913,臺南市歸仁區
