,縣市名,地區名,電影院,百貨,好市多,全聯,頂好
0,臺北市,中正區,2,0,0,2,3
1,臺北市,大同區,2,1,0,3,4
2,臺北市,中山區,7,1,0,5,8
3,臺北市,松山區,5,2,0,5,6
4,臺北市,大安區,2,1,0,12,9
5,臺北市,萬華區,10,0,0,3,8
6,臺北市,信義區,2,5,0,2,5
7,臺北市,士林區,2,0,0,7,7
8,臺北市,北投區,0,0,1,4,6
9,臺北市,內湖區,1,0,1,4,9
10,臺北市,南港區,1,2,0,4,2
11,臺北市,文山區,3,0,0,6,9
12,基隆市,仁愛區,0,0,0,1,3
13,基隆市,信義區,0,0,0,1,3
14,基隆市,中正區,1,0,0,1,2
15,基隆市,中山區,0,0,0,0,2
16,基隆市,安樂區,0,0,0,2,1
17,基隆市,暖暖區,0,0,0,1,0
18,基隆市,七堵區,0,0,0,1,2
19,新北市,萬里區,0,0,0,0,0
20,新北市,金山區,0,0,0,0,1
21,新北市,板橋區,4,3,0,5,14
22,新北市,汐止區,0,1,1,6,7
23,新北市,深坑區,0,0,0,1,1
24,新北市,石碇區,0,0,0,0,0
25,新北市,瑞芳區,0,0,0,1,1
26,新北市,平溪區,0,0,0,0,0
27,新北市,雙溪區,0,0,0,0,0
28,新北市,貢寮區,0,0,0,0,0
29,新北市,新店區,0,0,0,8,9
30,新北市,坪林區,0,0,0,0,0
31,新北市,烏來區,0,0,0,0,0
32,新北市,永和區,0,0,0,6,6
33,新北市,中和區,1,2,1,7,11
34,新北市,土城區,1,1,0,3,5
35,新北市,三峽區,0,0,0,2,5
36,新北市,樹林區,1,1,0,3,3
37,新北市,鶯歌區,0,0,0,0,1
38,新北市,三重區,1,0,0,7,11
39,新北市,新莊區,2,0,1,10,13
40,新北市,泰山區,0,0,0,1,5
41,新北市,林口區,2,2,0,3,1
42,新北市,蘆洲區,0,0,0,6,8
43,新北市,五股區,0,0,0,4,2
44,新北市,八里區,0,0,0,0,0
45,新北市,淡水區,1,0,0,4,4
46,新北市,三芝區,0,0,0,1,0
47,新北市,石門區,0,0,0,0,0
48,連江縣,南竿鄉,0,0,0,0,0
49,連江縣,北竿鄉,0,0,0,0,0
50,連江縣,莒光鄉,0,0,0,0,0
51,連江縣,東引鄉,0,0,0,0,0
52,宜蘭縣,宜蘭市,2,1,0,0,4
53,宜蘭縣,壯圍鄉,0,0,0,0,0
54,宜蘭縣,頭城鎮,0,0,0,0,1
55,宜蘭縣,礁溪鄉,0,0,0,0,1
56,宜蘭縣,員山鄉,0,0,0,0,0
57,宜蘭縣,羅東鎮,2,0,0,0,5
58,宜蘭縣,三星鄉,0,0,0,0,1
59,宜蘭縣,大同鄉,0,0,0,0,0
60,宜蘭縣,五結鄉,0,0,0,0,1
61,宜蘭縣,冬山鄉,0,0,0,0,1
62,宜蘭縣,蘇澳鎮,0,0,0,0,0
63,宜蘭縣,南澳鄉,0,0,0,0,0
64,宜蘭縣,釣魚臺,0,0,0,0,0
65,釣魚臺,釣魚臺,0,0,0,0,0
66,新竹市,東區,4,2,1,0,0
67,新竹市,北區,1,1,0,1,0
68,新竹市,香山區,0,0,0,0,0
69,新竹縣,寶山鄉,0,0,0,0,0
70,新竹縣,竹北市,0,1,0,9,4
71,新竹縣,湖口鄉,0,0,0,0,3
72,新竹縣,新豐鄉,0,0,0,1,1
73,新竹縣,新埔鎮,0,0,0,0,0
74,新竹縣,關西鎮,0,0,0,1,0
75,新竹縣,芎林鄉,0,0,0,0,0
76,新竹縣,竹東鎮,0,0,0,1,1
77,新竹縣,五峰鄉,0,0,0,0,0
78,新竹縣,橫山鄉,0,0,0,0,0
79,新竹縣,尖石鄉,0,0,0,0,0
80,新竹縣,北埔鄉,0,0,0,0,0
81,新竹縣,峨眉鄉,0,0,0,0,0
82,桃園市,中壢區,3,2,1,4,0
