,縣市名,地區名,住宅竊盜發生次數,機車竊盜發生次數,竊盜總發生次數,強制性交發生次數,強盜發生次數,搶奪發生次數,地區人口數,竊盜犯罪率,強制性交犯罪率,強盜犯罪率,搶奪犯罪率,總犯罪率
0,臺北市,中正區,122,46,168,8,4,15,159000,105.66,5.03,2.52,9.43,122.63999999999999
1,臺北市,大同區,99,69,168,9,0,10,127625,131.64,7.05,0.0,7.84,146.53
2,臺北市,中山區,223,53,276,34,21,23,229456,120.28,14.82,9.15,10.02,154.27
3,臺北市,松山區,103,33,136,19,3,2,205702,66.12,9.24,1.46,0.97,77.78999999999999
4,臺北市,大安區,172,59,231,16,10,9,308843,74.8,5.18,3.24,2.91,86.12999999999998
5,臺北市,萬華區,191,89,280,16,14,20,189603,147.68,8.44,7.38,10.55,174.05
6,臺北市,信義區,110,60,170,19,6,5,223406,76.09,8.5,2.69,2.24,89.52
7,臺北市,士林區,220,92,312,23,11,5,286544,108.88,8.03,3.84,1.74,122.49
8,臺北市,北投區,218,86,304,27,10,8,255532,118.97,10.57,3.91,3.13,136.57999999999998
9,臺北市,內湖區,172,38,210,12,7,7,287429,73.06,4.17,2.44,2.44,82.11
10,臺北市,南港區,114,32,146,8,0,1,121670,120.0,6.58,0.0,0.82,127.39999999999999
11,臺北市,文山區,135,35,170,14,7,3,273762,62.1,5.11,2.56,1.1,70.87
12,基隆市,仁愛區,41,41,82,14,15,10,43730,187.51,32.01,34.3,22.87,276.69
13,基隆市,信義區,56,28,84,6,6,2,52662,159.51,11.39,11.39,3.8,186.08999999999997
14,基隆市,中正區,74,20,94,19,8,2,51670,181.92,36.77,15.48,3.87,238.04
15,基隆市,中山區,38,37,75,8,6,7,47398,158.23,16.88,12.66,14.77,202.54
16,基隆市,安樂區,34,26,60,15,5,6,82294,72.91,18.23,6.08,7.29,104.51
17,基隆市,暖暖區,34,17,51,1,1,0,38619,132.06,2.59,2.59,0.0,137.24
18,基隆市,七堵區,59,30,89,9,0,1,53782,165.48,16.73,0.0,1.86,184.07
19,新北市,萬里區,19,3,22,5,2,0,22068,99.69,22.66,9.06,0.0,131.41
20,新北市,金山區,19,4,23,1,2,3,21774,105.63,4.59,9.19,13.78,133.19
21,新北市,板橋區,369,265,634,9,40,42,554742,114.29,1.62,7.21,7.57,130.69
22,新北市,汐止區,113,80,193,25,11,6,200535,96.24,12.47,5.49,2.99,117.18999999999998
23,新北市,深坑區,23,6,29,1,1,0,23634,122.7,4.23,4.23,0.0,131.16
24,新北市,石碇區,6,1,7,0,2,0,7731,90.54,0.0,25.87,0.0,116.41000000000001
25,新北市,瑞芳區,47,10,57,4,5,1,39982,142.56,10.0,12.51,2.5,167.57
26,新北市,平溪區,6,0,6,2,0,0,4666,128.59,42.86,0.0,0.0,171.45
27,新北市,雙溪區,6,2,8,0,1,0,8860,90.29,0.0,11.29,0.0,101.58000000000001
28,新北市,貢寮區,9,2,11,0,0,0,12301,89.42,0.0,0.0,0.0,89.42
29,新北市,新店區,144,74,218,4,13,7,302231,72.13,1.32,4.3,2.32,80.06999999999998
30,新北市,坪林區,1,0,1,0,0,0,6612,15.12,0.0,0.0,0.0,15.12
31,新北市,烏來區,5,0,5,0,0,0,6438,77.66,0.0,0.0,0.0,77.66
32,新北市,永和區,147,81,228,1,9,15,221098,103.12,0.45,4.07,6.78,114.42000000000002
33,新北市,中和區,300,189,489,12,19,17,412486,118.55,2.91,4.61,4.12,130.19
34,新北市,土城區,173,111,284,11,12,13,236901,119.88,4.64,5.07,5.49,135.08
35,新北市,三峽區,24,119,143,8,6,3,115820,123.47,6.91,5.18,2.59,138.15
36,新北市,樹林區,116,116,232,9,9,7,183946,126.12,4.89,4.89,3.81,139.70999999999998
37,新北市,鶯歌區,20,139,159,3,5,7,86361,184.11,3.47,5.79,8.11,201.48000000000002
38,新北市,三重區,288,255,543,3,22,21,385826,140.74,0.78,5.7,5.44,152.66
39,新北市,新莊區,246,171,417,13,26,28,417754,99.82,3.11,6.22,6.7,115.85
40,新北市,泰山區,40,34,74,4,5,6,78708,94.02,5.08,6.35,7.62,113.07
41,新北市,林口區,29,29,58,2,4,4,110081,52.69,1.82,3.63,3.63,61.77
42,新北市,蘆洲區,76,85,161,11,7,8,201332,79.97,5.46,3.48,3.97,92.88
43,新北市,五股區,41,45,86,6,5,5,86329,99.62,6.95,5.79,5.79,118.15000000000002
44,新北市,八里區,14,12,26,2,0,1,38906,66.83,5.14,0.0,2.57,74.53999999999999
45,新北市,淡水區,27,91,118,2,9,12,173502,68.01,1.15,5.19,6.92,81.27000000000001
46,新北市,三芝區,6,5,11,2,0,0,22978,47.87,8.7,0.0,0.0,56.56999999999999
47,新北市,石門區,10,1,11,1,0,1,12115,90.8,8.25,0.0,8.25,107.3
48,連江縣,南竿鄉,8,0,8,0,0,1,7663,104.4,0.0,0.0,13.05,117.45
49,連江縣,北竿鄉,0,0,0,0,0,0,2425,0.0,0.0,0.0,0.0,0.0
50,連江縣,莒光鄉,0,0,0,0,0,0,1618,0.0,0.0,0.0,0.0,0.0
51,連江縣,東引鄉,0,0,0,0,0,0,1350,0.0,0.0,0.0,0.0,0.0
52,宜蘭縣,宜蘭市,26,67,93,12,11,5,95732,97.15,12.53,11.49,5.22,126.39
53,宜蘭縣,壯圍鄉,15,6,21,1,0,1,24302,86.41,4.11,0.0,4.11,94.63
54,宜蘭縣,頭城鎮,28,10,38,3,6,1,29133,130.44,10.3,20.6,3.43,164.77
55,宜蘭縣,礁溪鄉,54,18,72,6,2,2,35619,202.14,16.84,5.61,5.61,230.20000000000002
