,type,年,月/日,縣市,地區
0,住宅竊盜,106,0401,宜蘭縣,羅東鎮
1,住宅竊盜,106,0401,花蓮縣,秀林鄉
2,住宅竊盜,106,0401,台中市,清水區
3,住宅竊盜,106,0401,彰化縣,埔鹽鄉
4,住宅竊盜,106,0401,新北市,瑞芳區
5,住宅竊盜,106,0401,嘉義市,西區
6,住宅竊盜,106,0401,彰化縣,埔心鄉
7,住宅竊盜,106,0401,台南市,永康區
8,住宅竊盜,106,0401,台東縣,鹿野鄉
9,住宅竊盜,106,0401,新北市,新莊區
10,住宅竊盜,106,0401,雲林縣,北港鎮
11,住宅竊盜,106,0401,彰化縣,溪州鄉
12,住宅竊盜,106,0401,宜蘭縣,羅東鎮
13,住宅竊盜,106,0401,台北市,文山區
14,住宅竊盜,106,0401,新北市,三重區
15,住宅竊盜,106,0401,台南市,佳里區
16,住宅竊盜,106,0401,新北市,平溪區
17,住宅竊盜,106,0402,新北市,新店區
18,住宅竊盜,106,0402,新北市,新莊區
19,住宅竊盜,106,0402,雲林縣,斗六市
20,住宅竊盜,106,0402,新北市,三重區
21,住宅竊盜,106,0402,新北市,板橋區
22,住宅竊盜,106,0403,桃園市,桃園區
23,住宅竊盜,106,0403,苗栗縣,竹南鎮
24,住宅竊盜,106,0403,花蓮縣,玉里鎮
25,住宅竊盜,106,0403,新北市,新莊區
26,住宅竊盜,106,0403,台南市,北區
27,住宅竊盜,106,0404,苗栗縣,通霄鎮
28,住宅竊盜,106,0404,新北市,三重區
29,住宅竊盜,106,0404,新北市,五股區
30,住宅竊盜,106,0404,台南市,仁德區
31,住宅竊盜,106,0404,新竹市,北區
32,住宅竊盜,106,0404,苗栗縣,大湖鄉
33,住宅竊盜,106,0404,台北市,北投區
34,住宅竊盜,106,0404,花蓮縣,花蓮市
35,住宅竊盜,106,0404,桃園市,中壢區
36,住宅竊盜,106,0405,台北市,松山區
37,住宅竊盜,106,0405,苗栗縣,後龍鎮
38,住宅竊盜,106,0405,彰化縣,芬園鄉
39,住宅竊盜,106,0405,高雄市,美濃區
40,住宅竊盜,106,0405,台北市,中正區
41,住宅竊盜,106,0405,南投縣,草屯鎮
42,住宅竊盜,106,0405,新北市,板橋區
43,住宅竊盜,106,0405,新北市,板橋區
44,住宅竊盜,106,0406,新竹市,北區
45,住宅竊盜,106,0406,苗栗縣,竹南鎮
46,住宅竊盜,106,0406,台南市,六甲區
47,住宅竊盜,106,0406,新北市,土城區
48,住宅竊盜,106,0406,台北市,內湖區
49,住宅竊盜,106,0406,新北市,新店區
50,住宅竊盜,106,0406,新北市,永和區
51,住宅竊盜,106,0406,台中市,霧峰區
52,住宅竊盜,106,0406,新北市,板橋區
53,住宅竊盜,106,0406,高雄市,左營區
54,住宅竊盜,106,0406,台北市,松山區
55,住宅竊盜,106,0406,新北市,三重區
56,住宅竊盜,106,0407,台南市,麻豆區
57,住宅竊盜,106,0407,苗栗縣,通霄鎮
58,住宅竊盜,106,0407,新北市,新莊區
59,住宅竊盜,106,0407,台南市,仁德區
60,住宅竊盜,106,0407,台南市,仁德區
61,住宅竊盜,106,0407,新北市,土城區
62,住宅竊盜,106,0407,雲林縣,西螺鎮
63,住宅竊盜,106,0408,新北市,中和區
64,住宅竊盜,106,0408,新北市,中和區
65,住宅竊盜,106,0408,新北市,蘆洲區
66,住宅竊盜,106,0408,宜蘭縣,宜蘭市
67,住宅竊盜,106,0408,高雄市,杉林區
68,住宅竊盜,106,0408,新北市,中和區
69,住宅竊盜,106,0408,新北市,板橋區
70,住宅竊盜,106,0408,台南市,北區
71,住宅竊盜,106,0408,新竹市,東區
72,住宅竊盜,106,0408,新北市,泰山區
73,住宅竊盜,106,0409,台北市,內湖區
74,住宅竊盜,106,0409,台南市,後壁區
75,住宅竊盜,106,0409,新北市,新莊區
76,住宅竊盜,106,0409,新北市,汐止區
77,住宅竊盜,106,0409,新竹市,東區
78,住宅竊盜,106,0410,台北市,北投區
79,住宅竊盜,106,0410,新北市,土城區
80,住宅竊盜,106,0410,花蓮縣,吉安鄉
81,住宅竊盜,106,0410,花蓮縣,新城鄉
82,住宅竊盜,106,0410,新北市,八里區
83,住宅竊盜,106,0410,新北市,新莊區
84,住宅竊盜,106,0410,高雄市,三民區
85,住宅竊盜,106,0410,高雄市,鳳山區
86,住宅竊盜,106,0411,新北市,泰山區
87,住宅竊盜,106,0411,宜蘭縣,蘇澳鎮
88,住宅竊盜,106,0411,新北市,汐止區
89,住宅竊盜,106,0411,新北市,泰山區
90,住宅竊盜,106,0411,新北市,新店區
91,住宅竊盜,106,0411,南投縣,埔里鎮
92,住宅竊盜,106,0412,新北市,新店區
93,住宅竊盜,106,0412,新北市,新店區
94,住宅竊盜,106,0412,苗栗縣,竹南鎮
95,住宅竊盜,106,0412,台北市,士林區
96,住宅竊盜,106,0412,彰化縣,溪湖鎮
97,住宅竊盜,106,0412,新北市,新莊區
98,住宅竊盜,106,0412,新北市,樹林區
99,住宅竊盜,106,0412,桃園市,龜山區
100,住宅竊盜,106,0412,台南市,北區
101,住宅竊盜,106,0413,新北市,汐止區
102,住宅竊盜,106,0413,桃園市,龍潭區
103,住宅竊盜,106,0413,台北市,文山區
104,住宅竊盜,106,0413,屏東縣,屏東市
105,住宅竊盜,106,0413,新北市,土城區
106,住宅竊盜,106,0413,高雄市,鳳山區
107,住宅竊盜,106,0413,雲林縣,麥寮鄉
108,住宅竊盜,106,0413,台北市,文山區
109,住宅竊盜,106,0414,台中市,西屯區
110,住宅竊盜,106,0414,新北市,新店區
111,住宅竊盜,106,0414,台中市,北區
112,住宅竊盜,106,0414,苗栗縣,竹南鎮
113,住宅竊盜,106,0414,新北市,新店區
114,住宅竊盜,106,0414,新北市,三重區
115,住宅竊盜,106,0414,高雄市,左營區
116,住宅竊盜,106,0414,台北市,士林區
117,住宅竊盜,106,0414,新北市,板橋區
118,住宅竊盜,106,0414,新北市,汐止區
119,住宅竊盜,106,0415,新北市,土城區
120,住宅竊盜,106,0415,台北市,大同區
121,住宅竊盜,106,0415,雲林縣,麥寮鄉
122,住宅竊盜,106,0415,新北市,永和區
123,住宅竊盜,106,0415,基隆市,信義區
124,住宅竊盜,106,0415,台南市,中西區
125,住宅竊盜,106,0415,新北市,五股區
126,住宅竊盜,106,0416,桃園市,八德區
127,住宅竊盜,106,0416,新北市,蘆洲區
128,住宅竊盜,106,0416,苗栗縣,造橋鄉
129,住宅竊盜,106,0416,新北市,三重區
130,住宅竊盜,106,0416,雲林縣,古坑鄉
131,住宅竊盜,106,0416,台北市,北投區
132,住宅竊盜,106,0416,新北市,新店區
133,住宅竊盜,106,0417,南投縣,草屯鎮
134,住宅竊盜,106,0417,台南市,安定區
135,住宅竊盜,106,0417,台南市,善化區
136,住宅竊盜,106,0417,新北市,永和區
137,住宅竊盜,106,0417,桃園市,中壢區
138,住宅竊盜,106,0417,新北市,永和區
139,住宅竊盜,106,0417,南投縣,水里鄉
140,住宅竊盜,106,0417,新北市,三重區
141,住宅竊盜,106,0417,台北市,內湖區
142,住宅竊盜,106,0417,新北市,新店區
143,住宅竊盜,106,0417,台北市,內湖區
144,住宅竊盜,106,0417,台南市,安平區
145,住宅竊盜,106,0418,新北市,新店區
146,住宅竊盜,106,0418,台中市,南屯區
147,住宅竊盜,106,0418,新北市,三重區
148,住宅竊盜,106,0418,新北市,板橋區
149,住宅竊盜,106,0418,雲林縣,斗六市
150,住宅竊盜,106,0418,高雄市,大社區
151,住宅竊盜,106,0418,新北市,板橋區
152,住宅竊盜,106,0418,桃園市,中壢區
153,住宅竊盜,106,0418,新北市,新莊區
154,住宅竊盜,106,0418,台北市,中山區
155,住宅竊盜,106,0418,台北市,中山區
156,住宅竊盜,106,0418,新北市,新莊區
157,住宅竊盜,106,0418,桃園市,桃園區
158,住宅竊盜,106,0418,南投縣,埔里鎮
159,住宅竊盜,106,0418,台北市,萬華區
160,住宅竊盜,106,0418,台北市,中正區
161,住宅竊盜,106,0418,新北市,新店區
162,住宅竊盜,106,0418,高雄市,左營區
163,住宅竊盜,106,0419,台北市,大安區
164,住宅竊盜,106,0419,南投縣,名間鄉
165,住宅竊盜,106,0419,高雄市,苓雅區
166,住宅竊盜,106,0419,宜蘭縣,冬山鄉
167,住宅竊盜,106,0419,花蓮縣,瑞穗鄉
168,住宅竊盜,106,0419,雲林縣,口湖鄉
169,住宅竊盜,106,0419,台中市,西屯區
170,住宅竊盜,106,0420,桃園市,桃園區
171,住宅竊盜,106,0420,台北市,信義區
172,住宅竊盜,106,0420,台南市,關廟區
173,住宅竊盜,106,0420,桃園市,觀音區
174,住宅竊盜,106,0420,桃園市,龜山區
175,住宅竊盜,106,0420,台北市,大同區
176,住宅竊盜,106,0420,南投縣,埔里鎮
177,住宅竊盜,106,0420,台北市,大同區
