名稱,所在地段,總樓版面積,開業時間,備註,
Top City 臺中大遠百,臺中市西屯區臺灣大道三段,"54,000坪/-",2011年12月,,
Pier3三號港購物廣場,澎湖縣馬公市同和路,,2018年2月,-,
MITSUI OUTLET PARK 台中港,臺中市梧棲區臺灣大道十段,-,2018年12月,鄰近臺中港,
MITSUI OUTLET PARK 林口,新北市林口區文化三路一段,"42,500坪/-",2016年1月,鄰近林口站,
Mega City板橋大遠百,新北市板橋區新站路,"40,000坪/-",2011年12月,-,
J-Mall食尚廣場,臺中市西屯區臺灣大道四段,-,2011年,-,
CITYLINK松山店,臺北市信義區松山路,-,2013年5月,位於松山車站內,
CITYLINK南港店,臺北市南港區忠孝東路七段,-,2014年12月,位於南港車站內,
Big City遠東巨城購物中心,新竹市東區中央路,"102,376坪/71,500坪",2012年4月,前身為新竹風城購物中心，目前為台灣第二大購物中心,
ATT 4 FUN,臺北市信義區松壽路,"10,000坪/-",2011年8月,前身為紐約紐約展覽購物中心,
中科購物廣場,臺中市西屯區玉門路370巷,"-/4,740坪",2005年10月,為台灣少見的平面式低密度商場,
遠雄購物中心,新北市汐止區新台五路一段,-,2015年10月,-,
遠企購物中心,臺北市大安區敦化南路二段,-,1994年,-,
義大世界購物廣場,高雄市大樹區學城路一段,"-/58,000坪",2010年5月,台灣第一座大型Outlet購物中心,
秀泰生活文心店,臺中市南屯區文心南路,"25,000坪[1]/-",2018年10月,-,
秀泰生活台中站前店,臺中市東區南京路,"13,600坪/-",2017年1月,-,
秀泰生活樹林店,新北市樹林區樹新路,-18700坪,2018年5月,-,
秀泰生活嘉義店,嘉義市西區文化路,"7,500坪/-",2016年1月,嘉嘉雲第一座影城複合式商場,
新國自在商場,臺中市西屯區市政北一路,-,2007年3月,-,
昕境廣場,新北市林口區文化三路一段,-,2015年7月,-,
微風信義,臺北市信義區忠孝東路五段,"-/9,000坪",2015年11月,-,
微風南京,臺北市松山區南京東路三段,"-/3,000坪",2013年9月,-,
微風廣場,臺北市松山區復興南路一段,"23,000坪/12,700坪",2001年10月,-,
威力購物廣場,新北市中和區中山路二段,"-/21,597坪",2003年,-,
統一夢時代購物中心,高雄市前鎮區中華五路,"150,000坪/78,000坪",2007年5月,全台最大，位於夢時代站旁,
臺北101,臺北市信義區信義路五段,-,2003年11月,-,
台茂購物中心,桃園市蘆竹區南崁路一段,"-/22,852坪",1999年7月,臺灣第一座大型購物中心,
尚順購物中心,苗栗縣頭份市和平路,-,2015年5月,-,
日月光廣場,新北市土城區學府路二段,-/8000坪,2018年7月,-,
日曜天地OUTLET,臺中市中區自由路二段,-,2008年5月,-,
勤美誠品綠園道,臺中市西區公益路,"24,099.77坪/5,500坪",2008年5月,前身為大廣三量販百貨公益店,
南紡購物中心,臺南市東區中華東路一段,"54,500坪/-",2014年12月,舊名南紡夢時代購物中心,
耐斯廣場時尚百貨,嘉義市東區忠孝路,"-/11,672坪",2006年4月,嘉嘉雲第一座日系郊外都市型購物中心，鄰近嘉北車站,
美麗華百樂園,臺北市中山區敬業三路,"37,933坪/25,000坪",2004年11月,鄰近劍南路(美麗華)站,
麗寶Outlet Mall,臺中市后里區福容路,"26,000坪/-",2017年1月,位於麗寶樂園內,
麗寶百貨廣場,新北市板橋區縣民大道二段,-,2013年2月,-,
老虎城購物中心,臺中市西屯區河南路三段,-,2002年1月,-,
蘭城新月廣場,宜蘭縣宜蘭市民權路二段,"-/25,000坪",2008年8月,-,
晶品城購物廣場,新竹市東區林森路,"-/10,000坪",2016年10月,位於新竹車站站前廣場,
京站時尚廣場,臺北市大同區承德路一段,-,2009年10月,-,
金典綠園道,臺中市西區健行路,-,2012年1月,前身為建台大丸百貨台中店,
環球購物中心中和店,新北市中和區中山路三段,"-/24,000坪",2005年11月,-,
環球購物中心新左營車站店,高雄市左營區站前北路,-,2013年4月,位於新左營車站內,
環球購物中心屏東店,屏東縣屏東市仁愛路,"-/10,000坪",2012年12月,-,
環球購物中心南港車站店,臺北市南港區忠孝東路七段,"-/2,600坪",2016年7月,位於南港車站內,
環球購物中心板橋店,新北市板橋區縣民大道二段,"-/6,505坪",2010年4月,位於板橋車站內,
華泰名品城 GLORIA OUTLETS,桃園市中壢區春德路,"74,500坪/-",2015年12月,鄰近高鐵桃園站,
漢神巨蛋購物廣場,高雄市左營區博愛二路,"-/21,000坪",2008年7月,鄰近巨蛋站，旁邊為高雄巨蛋,
廣豐新天地,桃園市八德區介壽路一段,"32,500坪/16,242坪",2017年1月,-,
風獅爺商店街,金門縣金湖鎮中山路,"10,800坪/-",2014年6月,鄰近金門機場,-
東協廣場,臺中市中區綠川西街,"29,000坪/-",1993年,-,
大魯閣新時代購物中心,臺中市東區復興路四段,"36,000坪/-",2015年7月,前身為德安購物中心及新時代購物中心,
大魯閣湳雅廣場,新竹市北區湳雅街,-,2018年5月,位於新竹湳雅商圈,
大魯閣草衙道,高雄市前鎮區中山四路,"42,000坪/-",2016年5月,全台唯一結合購物中心與遊樂園的休閒勝地，遊樂園的部份，為日本海外唯一一座鈴鹿賽道樂園，位於草衙站旁，且鄰近高雄國際機場,
大江國際購物中心,桃園市中壢區中園路二段,"-/23,000坪",2001年3月,-,
大墩食衣購物廣場,臺中市南屯區大墩路,"13,000坪/-",2016年4月,前身為家樂福大墩店,
寶麗廣塲,臺北市信義區松仁路,"-/15,000坪",2009年9月,號稱「貴婦精品百貨」,
6+Plaza,新竹縣竹北市復興三路二段,-,2017年12月,高鐵新竹站及台鐵六家站旁,
