,縣市,地區,costco家數,頂好家數,全聯家數
0,南投縣,南投市,0.0,0.0,2.0
1,南投縣,名間鄉,0.0,0.0,1.0
2,南投縣,埔里鎮,0.0,0.0,3.0
3,南投縣,水里鄉,0.0,0.0,1.0
4,南投縣,竹山鎮,0.0,0.0,2.0
5,南投縣,草屯鎮,0.0,0.0,3.0
6,南投縣,鹿谷鄉,0.0,0.0,1.0
7,台中市,北區,0.0,0.0,1.0
8,台中市,北區,0.0,0.0,1.0
9,台中市,北區,0.0,0.0,1.0
10,台中市,北區,0.0,0.0,1.0
11,台中市,北區,0.0,0.0,1.0
12,台中市,北區,0.0,0.0,1.0
13,台中市,北區,0.0,0.0,1.0
14,台中市,北屯區,0.0,0.0,7.0
15,台中市,南區,0.0,0.0,1.0
16,台中市,南區,0.0,0.0,2.0
17,台中市,南區,0.0,0.0,1.0
18,台中市,南屯區,1.0,1.0,5.0
19,台中市,后里區,0.0,0.0,2.0
20,台中市,外埔區,0.0,0.0,1.0
21,台中市,大甲區,0.0,0.0,2.0
22,台中市,大肚區,0.0,0.0,2.0
23,台中市,大里區,0.0,0.0,5.0
24,台中市,大雅區,0.0,1.0,3.0
25,台中市,太平區,0.0,0.0,4.0
26,台中市,東勢區,0.0,0.0,2.0
27,台中市,東區,0.0,0.0,1.0
28,台中市,東區,0.0,0.0,1.0
29,台中市,梧棲區,0.0,0.0,1.0
30,台中市,沙鹿區,0.0,0.0,4.0
31,台中市,清水區,0.0,0.0,1.0
32,台中市,潭子區,0.0,0.0,4.0
33,台中市,烏日區,0.0,0.0,2.0
34,台中市,神岡區,0.0,0.0,3.0
35,台中市,西區,0.0,0.0,1.0
36,台中市,西區,0.0,0.0,1.0
37,台中市,西區,0.0,0.0,1.0
38,台中市,西區,0.0,0.0,1.0
39,台中市,西區,0.0,0.0,1.0
40,台中市,西屯區,0.0,2.0,7.0
41,台中市,豐原區,0.0,0.0,6.0
42,台中市,霧峰區,0.0,0.0,1.0
43,台中市,龍井區,0.0,1.0,1.0
44,台北市,中山區,0.0,5.0,8.0
45,台北市,中正區,0.0,2.0,3.0
46,台北市,信義區,0.0,2.0,5.0
47,台北市,內湖區,1.0,4.0,9.0
48,台北市,北投區,1.0,4.0,6.0
49,台北市,南港區,0.0,4.0,2.0
50,台北市,士林區,0.0,7.0,7.0
51,台北市,大同區,0.0,3.0,4.0
52,台北市,大安區,0.0,12.0,9.0
53,台北市,文山區,0.0,6.0,9.0
54,台北市,松山區,0.0,5.0,6.0
55,台北市,萬華區,0.0,3.0,8.0
56,台南市,中西區,0.0,0.0,1.0
57,台南市,仁德區,0.0,0.0,2.0
58,台南市,佳里區,0.0,0.0,1.0
59,台南市,六甲區,0.0,0.0,1.0
60,台南市,北區,0.0,0.0,1.0
61,台南市,北區,1.0,0.0,2.0
62,台南市,北區,0.0,0.0,1.0
63,台南市,南區,0.0,0.0,1.0
64,台南市,南區,0.0,0.0,1.0
65,台南市,南區,0.0,0.0,1.0
66,台南市,南區,0.0,0.0,2.0
67,台南市,善化區,0.0,0.0,2.0
68,台南市,學甲區,0.0,1.0,1.0
69,台南市,安南區,0.0,0.0,4.0
70,台南市,安平區,0.0,0.0,3.0
71,台南市,新化區,0.0,0.0,1.0
72,台南市,新市區,0.0,0.0,1.0
73,台南市,新營區,0.0,1.0,3.0
74,台南市,東區,0.0,0.0,1.0
75,台南市,東區,0.0,0.0,1.0
76,台南市,東區,0.0,0.0,3.0
77,台南市,東區,0.0,0.0,1.0
78,台南市,東區,0.0,0.0,1.0
79,台南市,東區,0.0,1.0,1.0
80,台南市,歸仁區,0.0,0.0,3.0
81,台南市,永康區,0.0,2.0,7.0
82,台南市,白河區,0.0,0.0,1.0
83,台南市,西港區,0.0,0.0,1.0
84,台南市,鹽水區,0.0,0.0,1.0
85,台南市,麻豆區,0.0,1.0,2.0
86,台東縣,台東市,0.0,0.0,5.0
87,台東縣,太麻里,0.0,0.0,1.0
88,嘉義市,東區,0.0,0.0,1.0
89,嘉義市,東區,0.0,0.0,1.0
90,嘉義市,東區,1.0,0.0,1.0
91,嘉義市,東區,0.0,0.0,1.0
92,嘉義市,東區,0.0,0.0,1.0
93,嘉義市,西區,0.0,0.0,1.0
94,嘉義市,西區,0.0,1.0,1.0
95,嘉義市,西區,0.0,0.0,1.0
96,嘉義市,西區,0.0,0.0,1.0
97,嘉義市,西區,0.0,0.0,1.0
98,嘉義市,西區,0.0,0.0,1.0
99,嘉義縣,大林鎮,0.0,0.0,1.0
100,嘉義縣,太保市,0.0,0.0,1.0
