,縣市名,地區名,院所家數,人均院所家數(家數/千人),診所家數,人均診所家數(家數/千人),醫療院所病床數,人均病床數(床數/千人),大醫院家數,地區人口數
0,臺北市,中正區,288,1.811,285,1.792,3156,19.849,3,159000
1,臺北市,大同區,169,1.324,168,1.316,3334,26.123,1,127625
2,臺北市,中山區,475,2.07,471,2.053,2308,10.059,4,229456
3,臺北市,松山區,302,1.468,297,1.444,1804,8.77,5,205702
4,臺北市,大安區,849,2.749,843,2.73,3029,9.808,6,308843
5,臺北市,萬華區,183,0.965,179,0.944,636,3.354,4,189603
6,臺北市,信義區,293,1.312,292,1.307,1015,4.543,1,223406
7,臺北市,士林區,310,1.082,309,1.078,1120,3.909,1,286544
8,臺北市,北投區,204,0.798,198,0.775,5357,20.964,6,255532
9,臺北市,內湖區,254,0.884,251,0.873,2600,9.046,3,287429
10,臺北市,南港區,79,0.649,79,0.649,73,0.6,0,121670
11,臺北市,文山區,202,0.738,200,0.731,1032,3.77,2,273762
12,基隆市,仁愛區,89,2.035,88,2.012,404,9.239,1,43730
13,基隆市,信義區,29,0.551,27,0.513,511,9.703,2,52662
14,基隆市,中正區,67,1.297,65,1.258,365,7.064,2,51670
15,基隆市,中山區,38,0.802,38,0.802,21,0.443,0,47398
16,基隆市,安樂區,27,0.328,24,0.292,1365,16.587,3,82294
17,基隆市,暖暖區,16,0.414,15,0.388,151,3.91,1,38619
18,基隆市,七堵區,38,0.707,38,0.707,85,1.58,0,53782
19,新北市,萬里區,6,0.272,6,0.272,2,0.091,0,22068
20,新北市,金山區,8,0.367,7,0.321,77,3.536,1,21774
21,新北市,板橋區,595,1.073,588,1.06,2970,5.354,7,554742
22,新北市,汐止區,128,0.638,127,0.633,858,4.279,1,200535
23,新北市,深坑區,17,0.719,17,0.719,34,1.439,0,23634
24,新北市,石碇區,4,0.517,4,0.517,2,0.259,0,7731
25,新北市,瑞芳區,23,0.575,22,0.55,64,1.601,1,39982
26,新北市,平溪區,3,0.643,3,0.643,2,0.429,0,4666
27,新北市,雙溪區,4,0.451,4,0.451,3,0.339,0,8860
28,新北市,貢寮區,6,0.488,6,0.488,6,0.488,0,12301
29,新北市,新店區,229,0.758,222,0.735,2837,9.387,7,302231
30,新北市,坪林區,2,0.302,2,0.302,3,0.454,0,6612
31,新北市,烏來區,3,0.466,3,0.466,6,0.932,0,6438
32,新北市,永和區,290,1.312,288,1.303,719,3.252,2,221098
33,新北市,中和區,356,0.863,351,0.851,1789,4.337,5,412486
34,新北市,土城區,182,0.768,178,0.751,586,2.474,4,236901
35,新北市,三峽區,75,0.648,72,0.622,729,6.294,3,115820
36,新北市,樹林區,106,0.576,105,0.571,364,1.979,1,183946
37,新北市,鶯歌區,48,0.556,47,0.544,186,2.154,1,86361
38,新北市,三重區,371,0.962,367,0.951,1431,3.709,4,385826
39,新北市,新莊區,372,0.89,364,0.871,2226,5.328,8,417754
40,新北市,泰山區,58,0.737,57,0.724,505,6.416,1,78708
41,新北市,林口區,77,0.699,77,0.699,50,0.454,0,110081
42,新北市,蘆洲區,196,0.974,195,0.969,521,2.588,1,201332
43,新北市,五股區,31,0.359,31,0.359,16,0.185,0,86329
44,新北市,八里區,15,0.386,14,0.36,517,13.288,1,38906
45,新北市,淡水區,112,0.646,107,0.617,2105,12.132,5,173502
46,新北市,三芝區,9,0.392,8,0.348,89,3.873,1,22978
47,新北市,石門區,3,0.248,3,0.248,0,0.0,0,12115
48,連江縣,南竿鄉,1,0.13,0,0.0,43,5.611,1,7663
49,連江縣,北竿鄉,1,0.412,1,0.412,3,1.237,0,2425
50,連江縣,莒光鄉,2,1.236,2,1.236,4,2.472,0,1618
51,連江縣,東引鄉,1,0.741,1,0.741,2,1.481,0,1350
52,宜蘭縣,宜蘭市,118,1.233,116,1.212,823,8.597,2,95732
53,宜蘭縣,壯圍鄉,8,0.329,7,0.288,106,4.362,1,24302
54,宜蘭縣,頭城鎮,14,0.481,14,0.481,27,0.927,0,29133
55,宜蘭縣,礁溪鄉,17,0.477,16,0.449,59,1.656,1,35619
56,宜蘭縣,員山鄉,9,0.279,7,0.217,824,25.526,2,32281
57,宜蘭縣,羅東鎮,124,1.712,122,1.684,1717,23.705,2,72433
58,宜蘭縣,三星鄉,8,0.375,8,0.375,11,0.515,0,21359
59,宜蘭縣,大同鄉,2,0.32,2,0.32,2,0.32,0,6242
60,宜蘭縣,五結鄉,13,0.329,13,0.329,13,0.329,0,39543
61,宜蘭縣,冬山鄉,15,0.284,15,0.284,21,0.397,0,52880
62,宜蘭縣,蘇澳鎮,20,0.504,19,0.479,291,7.333,1,39682
63,宜蘭縣,南澳鄉,4,0.665,4,0.665,9,1.496,0,6015
64,宜蘭縣,釣魚臺,0,0.0,0,0.0,0,0.0,0,0
65,釣魚臺,釣魚臺,0,0.0,0,0.0,0,0.0,0,0
66,新竹市,東區,296,1.373,293,1.359,1449,6.722,3,215566
67,新竹市,北區,133,0.877,128,0.844,1366,9.006,5,151679
68,新竹市,香山區,14,0.179,14,0.179,0,0.0,0,78390
69,新竹縣,寶山鄉,2,0.137,2,0.137,0,0.0,0,14647
70,新竹縣,竹北市,187,0.998,183,0.977,992,5.295,4,187336
71,新竹縣,湖口鄉,46,0.592,45,0.579,420,5.408,1,77668
72,新竹縣,新豐鄉,29,0.509,29,0.509,7,0.123,0,56980
73,新竹縣,新埔鎮,14,0.423,14,0.423,2,0.06,0,33104
74,新竹縣,關西鎮,19,0.666,18,0.631,187,6.553,1,28537
75,新竹縣,芎林鄉,6,0.3,6,0.3,2,0.1,0,20025
76,新竹縣,竹東鎮,81,0.84,77,0.799,948,9.836,4,96380
77,新竹縣,五峰鄉,2,0.419,2,0.419,2,0.419,0,4774
78,新竹縣,橫山鄉,3,0.232,3,0.232,1,0.077,0,12942
79,新竹縣,尖石鄉,4,0.413,4,0.413,4,0.413,0,9695
80,新竹縣,北埔鄉,4,0.428,4,0.428,0,0.0,0,9335
81,新竹縣,峨眉鄉,2,0.358,2,0.358,1,0.179,0,5587
82,桃園市,中壢區,402,0.976,391,0.949,1921,4.662,11,412063
83,桃園市,平鎮區,84,0.371,79,0.349,1073,4.739,5,226412
84,桃園市,龍潭區,70,0.568,68,0.552,944,7.664,2,123175
85,桃園市,楊梅區,84,0.493,82,0.481,663,3.891,2,170380
86,桃園市,新屋區,14,0.284,13,0.264,227,4.613,1,49210
87,桃園市,觀音區,15,0.223,15,0.223,17,0.252,0,67358
88,桃園市,桃園區,512,1.145,503,1.125,4642,10.378,9,447302
89,桃園市,龜山區,109,0.679,106,0.66,4568,28.445,3,160591
90,桃園市,八德區,111,0.549,111,0.549,250,1.236,0,202198
91,桃園市,大溪區,39,0.411,39,0.411,102,1.075,0,94885
92,桃園市,復興區,6,0.499,6,0.499,6,0.499,0,12026
93,桃園市,大園區,43,0.473,41,0.451,550,6.051,2,90888
94,桃園市,蘆竹區,116,0.706,116,0.706,229,1.393,0,164384
95,苗栗縣,竹南鎮,60,0.697,58,0.673,160,1.858,2,86130
96,苗栗縣,頭份市,72,0.698,69,0.669,1081,10.487,3,103081
97,苗栗縣,三灣鄉,4,0.605,4,0.605,2,0.302,0,6613
98,苗栗縣,南庄鄉,5,0.498,5,0.498,0,0.0,0,10042
99,苗栗縣,獅潭鄉,2,0.462,2,0.462,0,0.0,0,4331
100,苗栗縣,後龍鎮,18,0.496,18,0.496,54,1.489,0,36257
101,苗栗縣,通霄鎮,16,0.471,15,0.441,66,1.942,1,33992
102,苗栗縣,苑裡鎮,33,0.73,32,0.708,290,6.414,1,45211
103,苗栗縣,苗栗市,103,1.168,96,1.088,1608,18.228,7,88216
104,苗栗縣,造橋鄉,5,0.394,5,0.394,1,0.079,0,12701
105,苗栗縣,頭屋鄉,6,0.562,6,0.562,3,0.281,0,10667
106,苗栗縣,公館鄉,18,0.541,18,0.541,6,0.18,0,33261
107,苗栗縣,大湖鄉,8,0.552,7,0.483,56,3.867,1,14482
108,苗栗縣,泰安鄉,3,0.497,3,0.497,2,0.331,0,6039
109,苗栗縣,銅鑼鄉,10,0.56,10,0.56,1,0.056,0,17871
110,苗栗縣,三義鄉,9,0.555,9,0.555,5,0.309,0,16204
111,苗栗縣,西湖鄉,3,0.427,3,0.427,0,0.0,0,7033
112,苗栗縣,卓蘭鎮,10,0.598,10,0.598,12,0.717,0,16732
113,臺中市,中區,64,3.457,61,3.295,589,31.814,3,18514
114,臺中市,東區,93,1.221,90,1.181,315,4.135,3,76175
115,臺中市,南區,167,1.327,163,1.295,1574,12.505,4,125874
