縣市名,地區名,幼稚園數量,國小數量,國中數量,高中數量,大學數量,縣市地區
臺北市,中正區,32,8,5,6,2,臺北市中正區
臺北市,大同區,25,9,5,4,0,臺北市大同區
臺北市,中山區,54,11,5,5,2,臺北市中山區
臺北市,松山區,56,8,4,3,0,臺北市松山區
臺北市,大安區,109,15,8,9,5,臺北市大安區
臺北市,萬華區,38,12,3,2,0,臺北市萬華區
臺北市,信義區,42,9,4,5,1,臺北市信義區
臺北市,士林區,79,20,6,7,3,臺北市士林區
臺北市,北投區,64,16,6,6,5,臺北市北投區
臺北市,內湖區,85,13,6,7,3,臺北市內湖區
臺北市,南港區,33,7,2,3,1,臺北市南港區
臺北市,文山區,69,23,6,10,3,臺北市文山區
基隆市,仁愛區,10,5,2,0,0,基隆市仁愛區
基隆市,信義區,19,6,2,3,1,基隆市信義區
基隆市,中正區,14,5,2,3,1,基隆市中正區
基隆市,中山區,12,6,0,2,1,基隆市中山區
基隆市,安樂區,18,6,2,1,0,基隆市安樂區
基隆市,暖暖區,12,5,1,2,0,基隆市暖暖區
基隆市,七堵區,21,8,2,1,0,基隆市七堵區
新北市,萬里區,7,5,1,1,0,新北市萬里區
新北市,金山區,7,4,0,1,1,新北市金山區
新北市,板橋區,158,17,8,7,3,新北市板橋區
新北市,汐止區,59,12,2,3,0,新北市汐止區
新北市,深坑區,8,1,1,0,1,新北市深坑區
新北市,石碇區,3,4,0,1,1,新北市石碇區
新北市,瑞芳區,19,11,2,2,0,新北市瑞芳區
新北市,平溪區,3,3,1,0,0,新北市平溪區
新北市,雙溪區,3,4,0,1,0,新北市雙溪區
新北市,貢寮區,5,5,1,1,0,新北市貢寮區
新北市,新店區,79,13,3,9,2,新北市新店區
新北市,坪林區,2,1,1,0,0,新北市坪林區
新北市,烏來區,3,3,1,0,0,新北市烏來區
新北市,永和區,64,8,2,3,0,新北市永和區
新北市,中和區,87,9,4,4,1,新北市中和區
新北市,土城區,61,6,2,4,1,新北市土城區
新北市,三峽區,43,14,2,3,1,新北市三峽區
